Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
N Dickwella (SL),2016-2019,2016,2019,3,23,23,10,10,0,9,1,2 (2ct 0st),0.434,0.43,0.43,0.00
R Escobar (Arg),2019-2019,2019,2019,0,5,5,10,7,3,7,0,3 (3ct 0st),2,1.40,2.00,0.60
FJ Klaassen (NL),2018-2019,2018,2019,1,21,20,10,10,0,0,10,2 (2ct 0st),0.5,0.48,0.48,0.00
Mashrafe Mortaza (BDESH),2006-2017,2006,2017,11,54,53,10,10,0,0,10,3 (3ct 0st),0.188,0.19,0.19,0.00
Nizakat Khan (HKG),2014-2019,2014,2019,5,34,34,10,10,0,0,10,2 (2ct 0st),0.294,0.29,0.29,0.00
JL Ontong (SA),2008-2015,2008,2015,7,14,14,10,10,0,0,10,3 (3ct 0st),0.714,0.71,0.71,0.00
RJ Peterson (SA),2006-2014,2006,2014,8,21,21,10,10,0,0,10,2 (2ct 0st),0.476,0.48,0.48,0.00
AU Rashid (ENG),2009-2019,2009,2019,10,40,40,10,10,0,0,10,2 (2ct 0st),0.25,0.25,0.25,0.00
SM Sharif (SCOT),2012-2019,2012,2019,7,42,41,10,10,0,0,10,2 (2ct 0st),0.243,0.24,0.24,0.00
JJ Smit (NAM),2019-2019,2019,2019,0,12,12,10,10,0,0,10,3 (3ct 0st),0.833,0.83,0.83,0.00
LJ Tucker (IRE),2016-2019,2016,2019,3,14,14,10,10,0,2,8,2 (2ct 0st),0.714,0.71,0.71,0.00
Usman Ghani (AFG),2015-2019,2015,2019,4,19,19,10,10,0,0,10,2 (2ct 0st),0.526,0.53,0.53,0.00
Asif Ali (PAK),2018-2019,2018,2019,1,25,25,9,9,0,0,9,1 (1ct 0st),0.36,0.36,0.36,0.00
Mudassar Bukhari (NL),2008-2016,2008,2016,8,38,36,9,9,0,0,9,2 (2ct 0st),0.25,0.24,0.24,0.00
CJ Chibhabha (ZIM),2006-2018,2006,2018,12,33,33,9,9,0,0,9,2 (2ct 0st),0.272,0.27,0.27,0.00
MD Gunathilaka (SL),2016-2019,2016,2019,3,21,21,9,9,0,0,9,3 (3ct 0st),0.428,0.43,0.43,0.00
DT Johnston (IRE),2008-2013,2008,2013,5,30,28,9,9,0,0,9,3 (3ct 0st),0.321,0.30,0.30,0.00
Karan KC (NEPAL),2015-2019,2015,2019,4,25,25,9,9,0,0,9,2 (2ct 0st),0.36,0.36,0.36,0.00
E Lewis (WI),2016-2019,2016,2019,3,29,29,9,9,0,0,9,2 (2ct 0st),0.31,0.31,0.31,0.00
PD McGlashan (NZ),2006-2010,2006,2010,4,11,11,9,9,0,9,0,3 (3ct 0st),0.818,0.82,0.82,0.00
Manpreet Singh (ITA),2019-2019,2019,2019,0,8,7,9,6,3,6,0,4 (3ct 1st),1.285,0.75,1.13,0.38
Mohamed Azzam (Mald),2019-2019,2019,2019,0,7,7,9,8,1,8,0,3 (3ct 0st),1.285,1.14,1.29,0.14
J Mubarak (SL),2007-2009,2007,2009,2,16,16,9,9,0,0,9,2 (2ct 0st),0.562,0.56,0.56,0.00
Mustafizur Rahman (BDESH),2015-2019,2015,2019,4,37,37,9,9,0,0,9,3 (3ct 0st),0.243,0.24,0.24,0.00
SO Ngoche (KENYA),2010-2019,2010,2019,9,28,28,9,9,0,0,9,2 (2ct 0st),0.321,0.32,0.32,0.00
RR Pant (INDIA),2017-2019,2017,2019,2,26,26,9,6,3,4,2,2 (2ct 0st),0.346,0.23,0.35,0.12
YK Pathan (INDIA),2007-2012,2007,2012,5,22,22,9,9,0,0,9,2 (2ct 0st),0.409,0.41,0.41,0.00
R Powell (WI),2017-2019,2017,2019,2,23,23,9,9,0,0,9,2 (2ct 0st),0.391,0.39,0.39,0.00
MJ Prior (ENG),2007-2010,2007,2010,3,10,10,9,6,3,6,0,4 (4ct 0st),0.9,0.60,0.90,0.30
DMW Rawlins (BMUDA),2019-2019,2019,2019,0,11,11,9,9,0,0,9,3 (3ct 0st),0.818,0.82,0.82,0.00
JA Richardson (AUS),2017-2019,2017,2019,2,9,9,9,9,0,0,9,2 (2ct 0st),1,1.00,1.00,0.00
RR Rossouw (SA),2014-2016,2014,2016,2,15,15,9,9,0,0,9,3 (3ct 0st),0.6,0.60,0.60,0.00
CJO Smith (SCOT),2007-2009,2007,2009,2,8,7,9,5,4,5,0,2 (2ct 0st),1.285,0.63,1.13,0.50
IS Sodhi (NZ),2014-2019,2014,2019,5,40,39,9,9,0,0,9,1 (1ct 0st),0.23,0.23,0.23,0.00
MC Sorensen (IRE),2012-2016,2012,2016,4,26,24,9,9,0,0,9,2 (2ct 0st),0.375,0.35,0.35,0.00
BA Stokes (ENG),2011-2018,2011,2018,7,23,22,9,9,0,0,9,3 (3ct 0st),0.409,0.39,0.39,0.00
Sultan Ahmed (UAE),2017-2019,2017,2019,2,17,17,9,9,0,0,9,3 (3ct 0st),0.529,0.53,0.53,0.00
Suraj Kumar (OMAN),2019-2019,2019,2019,0,13,13,9,7,2,7,0,2 (2ct 0st),0.692,0.54,0.69,0.15
JE Taylor (WI),2006-2018,2006,2018,12,30,30,9,9,0,0,9,1 (1ct 0st),0.3,0.30,0.30,0.00
T van der Gugten (NL),2012-2019,2012,2019,7,39,38,9,9,0,0,9,2 (2ct 0st),0.236,0.23,0.23,0.00
DL Vettori (NZ),2007-2014,2007,2014,7,34,34,9,9,0,0,9,2 (2ct 0st),0.264,0.26,0.26,0.00
CD Wallace (SCOT),2012-2019,2012,2019,7,19,18,9,7,2,6,1,2 (2ct 0st),0.5,0.37,0.47,0.11
MN Waller (ZIM),2011-2018,2011,2018,7,32,32,9,9,0,0,9,1 (1ct 0st),0.281,0.28,0.28,0.00
D Wiese (SA),2013-2016,2013,2016,3,20,20,9,9,0,0,9,2 (2ct 0st),0.45,0.45,0.45,0.00
Zaheer Ibrahim (QAT),2019-2019,2019,2019,0,13,13,9,9,0,0,9,3 (3ct 0st),0.692,0.69,0.69,0.00
Aizaz Khan (HKG),2014-2019,2014,2019,5,30,30,8,8,0,0,8,2 (2ct 0st),0.266,0.27,0.27,0.00
R Ashwin (INDIA),2010-2017,2010,2017,7,46,46,8,8,0,0,8,1 (1ct 0st),0.173,0.17,0.17,0.00
S Bau (PNG),2016-2019,2016,2019,3,23,23,8,8,0,0,8,3 (3ct 0st),0.347,0.35,0.35,0.00
DG Blampied (JER),2019-2019,2019,2019,0,17,17,8,8,0,0,8,2 (2ct 0st),0.47,0.47,0.47,0.00
AC Botha (IRE),2008-2010,2008,2010,2,14,13,8,8,0,0,8,2 (2ct 0st),0.615,0.57,0.57,0.00
JW Dernbach (ENG),2011-2014,2011,2014,3,34,33,8,8,0,0,8,2 (2ct 0st),0.242,0.24,0.24,0.00
JN Frylinck (NAM),2019-2019,2019,2019,0,14,14,8,8,0,0,8,2 (2ct 0st),0.571,0.57,0.57,0.00
HH Gibbs (SA),2005-2010,2005,2010,5,23,23,8,8,0,0,8,3 (3ct 0st),0.347,0.35,0.35,0.00
RR Hendricks (SA),2014-2019,2014,2019,5,22,22,8,8,0,0,8,1 (1ct 0st),0.363,0.36,0.36,0.00
H Klaasen (SA),2018-2019,2018,2019,1,9,9,8,8,0,5,3,2 (2ct 0st),0.888,0.89,0.89,0.00
MJ Lumb (ENG),2010-2014,2010,2014,4,27,26,8,8,0,0,8,1 (1ct 0st),0.307,0.30,0.30,0.00
BR McDermott (AUS),2018-2019,2018,2019,1,12,11,8,8,0,0,8,3 (3ct 0st),0.727,0.67,0.67,0.00
Manpreet Singh (SGP),2019-2019,2019,2019,0,12,12,8,4,4,4,0,2 (1ct 1st),0.666,0.33,0.67,0.33
KD Mills (NZ),2005-2014,2005,2014,9,42,42,8,8,0,0,8,1 (1ct 0st),0.19,0.19,0.19,0.00
DJ Mitchell (NZ),2019-2019,2019,2019,0,9,9,8,8,0,0,8,2 (2ct 0st),0.888,0.89,0.89,0.00
Mohammad Nadeem (OMAN),2015-2019,2015,2019,4,22,22,8,8,0,0,8,3 (3ct 0st),0.363,0.36,0.36,0.00
M Mosehle (SA),2017-2017,2017,2017,0,7,7,8,6,2,6,0,3 (2ct 1st),1.142,0.86,1.14,0.29
Nouman Sarwar (QAT),2019-2019,2019,2019,0,14,14,8,8,0,0,8,2 (2ct 0st),0.571,0.57,0.57,0.00
RT Ponting (AUS),2005-2009,2005,2009,4,17,17,8,8,0,0,8,2 (2ct 0st),0.47,0.47,0.47,0.00
Rameez Shahzad (UAE),2016-2019,2016,2019,3,22,22,8,8,0,0,8,2 (2ct 0st),0.363,0.36,0.36,0.00
Ravinderpal Singh (CAN),2019-2019,2019,2019,0,12,12,8,8,0,0,8,2 (2ct 0st),0.666,0.67,0.67,0.00
KW Richardson (AUS),2014-2019,2014,2019,5,15,15,8,8,0,0,8,2 (2ct 0st),0.533,0.53,0.53,0.00
DJM Short (AUS),2018-2019,2018,2019,1,20,19,8,8,0,0,8,2 (2ct 0st),0.421,0.40,0.40,0.00
DR Smith (WI),2006-2015,2006,2015,9,33,33,8,8,0,0,8,1 (1ct 0st),0.242,0.24,0.24,0.00
Sompal Kami (NEPAL),2014-2019,2014,2019,5,28,28,8,8,0,0,8,2 (2ct 0st),0.285,0.29,0.29,0.00
MA Starc (AUS),2012-2019,2012,2019,7,28,28,8,8,0,0,8,2 (2ct 0st),0.285,0.29,0.29,0.00
SB Styris (NZ),2005-2010,2005,2010,5,31,31,8,8,0,0,8,2 (2ct 0st),0.258,0.26,0.26,0.00
RML Taylor (SCOT),2013-2016,2013,2016,3,9,9,8,8,0,0,8,2 (2ct 0st),0.888,0.89,0.89,0.00
HT Tector (IRE),2019-2019,2019,2019,0,14,14,8,8,0,0,8,2 (2ct 0st),0.571,0.57,0.57,0.00
HDRL Thirimanne (SL),2012-2016,2012,2016,4,26,26,8,8,0,0,8,1 (1ct 0st),0.307,0.31,0.31,0.00
AJ Tye (AUS),2016-2018,2016,2018,2,26,25,8,8,0,0,8,2 (2ct 0st),0.32,0.31,0.31,0.00
N Vanua (PNG),2015-2019,2015,2019,4,25,25,8,8,0,0,8,2 (2ct 0st),0.32,0.32,0.32,0.00
MH Yardy (ENG),2006-2011,2006,2011,5,14,14,8,8,0,0,8,2 (2ct 0st),0.571,0.57,0.57,0.00
KJ Abbott (SA),2013-2016,2013,2016,3,21,21,7,7,0,0,7,2 (2ct 0st),0.333,0.33,0.33,0.00
RG Aga (KENYA),2008-2013,2008,2013,5,20,20,7,7,0,0,7,2 (2ct 0st),0.35,0.35,0.35,0.00
MM Ali (ENG),2014-2018,2014,2018,4,25,25,7,7,0,0,7,2 (2ct 0st),0.28,0.28,0.28,0.00
Aqib Ilyas (OMAN),2015-2019,2015,2019,4,22,22,7,7,0,0,7,2 (2ct 0st),0.318,0.32,0.32,0.00
S Badree (WI/World),2012-2018,2012,2018,6,52,52,7,7,0,0,7,2 (2ct 0st),0.134,0.13,0.13,0.00
HS Baidwan (CAN),2008-2013,2008,2013,5,17,17,7,7,0,0,7,2 (2ct 0st),0.411,0.41,0.41,0.00
RD Berrington (SCOT),2008-2019,2008,2019,11,61,59,7,7,0,0,7,2 (2ct 0st),0.118,0.11,0.11,0.00
Bilal Khan (OMAN),2015-2019,2015,2019,4,32,31,7,7,0,0,7,2 (2ct 0st),0.225,0.22,0.22,0.00
RS Bopara (ENG),2008-2014,2008,2014,6,38,37,7,7,0,0,7,2 (2ct 0st),0.189,0.18,0.18,0.00
DAJ Bracewell (NZ),2011-2019,2011,2019,8,18,17,7,7,0,0,7,2 (2ct 0st),0.411,0.39,0.39,0.00
YS Chahal (INDIA),2016-2019,2016,2019,3,36,36,7,7,0,0,7,2 (2ct 0st),0.194,0.19,0.19,0.00
S Chanderpaul (WI),2006-2010,2006,2010,4,22,22,7,7,0,0,7,1 (1ct 0st),0.318,0.32,0.32,0.00
MS Chapman (HKG/NZ),2014-2018,2014,2018,4,24,24,7,7,0,0,7,2 (2ct 0st),0.291,0.29,0.29,0.00
PJ Cummins (AUS),2011-2019,2011,2019,8,25,25,7,7,0,0,7,1 (1ct 0st),0.28,0.28,0.28,0.00
AR Cusack (IRE),2008-2015,2008,2015,7,37,33,7,7,0,0,7,2 (2ct 0st),0.212,0.19,0.19,0.00
Dawlat Zadran (AFG),2012-2019,2012,2019,7,34,34,7,7,0,0,7,2 (2ct 0st),0.205,0.21,0.21,0.00
BR Dunk (AUS),2014-2017,2014,2017,3,5,5,7,5,2,4,1,3 (1ct 2st),1.4,1.00,1.40,0.40
AC Evans (SCOT),2015-2019,2015,2019,4,27,25,7,7,0,0,7,1 (1ct 0st),0.28,0.26,0.26,0.00
Faheem Ashraf (PAK),2017-2019,2017,2019,2,27,27,7,7,0,0,7,2 (2ct 0st),0.259,0.26,0.26,0.00
Fawad Alam (PAK),2007-2010,2007,2010,3,24,24,7,7,0,0,7,2 (2ct 0st),0.291,0.29,0.29,0.00
Harbhajan Singh (INDIA),2006-2016,2006,2016,10,28,27,7,7,0,0,7,2 (2ct 0st),0.259,0.25,0.25,0.00
Hasan Ali (PAK),2016-2019,2016,2019,3,30,30,7,7,0,0,7,1 (1ct 0st),0.233,0.23,0.23,0.00
AW Hawkins-Kay (JER),2019-2019,2019,2019,0,16,16,7,7,0,0,7,2 (2ct 0st),0.437,0.44,0.44,0.00
JO Holder (WI),2014-2019,2014,2019,5,17,17,7,7,0,0,7,2 (2ct 0st),0.411,0.41,0.41,0.00
Imran Tahir (SA/World),2013-2019,2013,2019,6,38,38,7,7,0,0,7,2 (2ct 0st),0.184,0.18,0.18,0.00
Iqbal Hussain (QAT),2019-2019,2019,2019,0,15,15,7,7,0,0,7,2 (2ct 0st),0.466,0.47,0.47,0.00
JH Kallis (SA),2005-2012,2005,2012,7,25,25,7,7,0,0,7,2 (2ct 0st),0.28,0.28,0.28,0.00
Kuldeep Yadav (INDIA),2017-2019,2017,2019,2,19,19,7,7,0,0,7,2 (2ct 0st),0.368,0.37,0.37,0.00
MJ McClenaghan (ICC/NZ),2012-2018,2012,2018,6,29,29,7,7,0,0,7,1 (1ct 0st),0.241,0.24,0.24,0.00
MW Machan (SCOT),2013-2016,2013,2016,3,13,13,7,7,0,0,7,1 (1ct 0st),0.538,0.54,0.54,0.00
AD Mascarenhas (ENG),2007-2009,2007,2009,2,14,14,7,7,0,0,7,2 (2ct 0st),0.5,0.50,0.50,0.00
Mehidy Hasan Miraz (BDESH),2017-2018,2017,2018,1,13,13,7,7,0,0,7,2 (2ct 0st),0.538,0.54,0.54,0.00
BMAJ Mendis (SL),2011-2018,2011,2018,7,22,22,7,7,0,0,7,2 (2ct 0st),0.318,0.32,0.32,0.00
AK Mohan (Fin),2019-2019,2019,2019,0,5,5,7,5,2,3,2,3 (2ct 1st),1.4,1.00,1.40,0.40
PJ Moor (ZIM),2016-2019,2016,2019,3,21,21,7,7,0,2,5,2 (2ct 0st),0.333,0.33,0.33,0.00
Mosaddek Hossain (BDESH),2016-2019,2016,2019,3,14,14,7,7,0,0,7,2 (2ct 0st),0.5,0.50,0.50,0.00
K Motlhanka (Botsw),2019-2019,2019,2019,0,7,7,7,3,4,3,0,4 (2ct 2st),1,0.43,1.00,0.57
SP Narine (WI),2012-2019,2012,2019,7,51,51,7,7,0,0,7,2 (2ct 0st),0.137,0.14,0.14,0.00
H Osinde (CAN),2008-2013,2008,2013,5,11,11,7,7,0,0,7,2 (2ct 0st),0.636,0.64,0.64,0.00
MK Pandey (INDIA),2015-2019,2015,2019,4,32,32,7,7,0,0,7,2 (2ct 0st),0.218,0.22,0.22,0.00
KH Pandya (INDIA),2018-2019,2018,2019,1,18,18,7,7,0,0,7,2 (2ct 0st),0.388,0.39,0.39,0.00
LE Plunkett (ENG),2006-2019,2006,2019,13,22,22,7,7,0,0,7,1 (1ct 0st),0.318,0.32,0.32,0.00
N Pooran (WI),2016-2019,2016,2019,3,16,16,7,7,0,3,4,2 (2ct 0st),0.437,0.44,0.44,0.00
JD Ryder (NZ),2008-2014,2008,2014,6,22,22,7,7,0,0,7,2 (2ct 0st),0.318,0.32,0.32,0.00
RR Sarwan (WI),2007-2010,2007,2010,3,18,18,7,7,0,0,7,1 (1ct 0st),0.388,0.39,0.39,0.00
MD Shanaka (SL),2015-2019,2015,2019,4,35,35,7,7,0,0,7,2 (2ct 0st),0.2,0.20,0.20,0.00
Simi Singh (IRE),2018-2019,2018,2019,1,18,18,7,7,0,0,7,2 (2ct 0st),0.388,0.39,0.39,0.00
Sohail Tanvir (PAK),2007-2017,2007,2017,10,57,57,7,7,0,0,7,1 (1ct 0st),0.122,0.12,0.12,0.00
MP Stoinis (AUS),2015-2019,2015,2019,4,19,18,7,7,0,0,7,1 (1ct 0st),0.388,0.37,0.37,0.00
MR Swart (NL),2012-2016,2012,2016,4,26,26,7,7,0,0,7,1 (1ct 0st),0.269,0.27,0.27,0.00
R Tari (VAN),2019-2019,2019,2019,0,14,14,7,7,0,0,7,2 (2ct 0st),0.5,0.50,0.50,0.00
TP Ura (PNG),2015-2019,2015,2019,4,23,23,7,7,0,0,7,2 (2ct 0st),0.304,0.30,0.30,0.00
Waqas Barkat (HKG),2014-2019,2014,2019,5,22,22,7,7,0,0,7,2 (2ct 0st),0.318,0.32,0.32,0.00
MRJ Watt (SCOT),2015-2019,2015,2019,4,35,33,7,7,0,0,7,1 (1ct 0st),0.212,0.20,0.20,0.00
KOK Williams (WI),2016-2019,2016,2019,3,24,24,7,7,0,0,7,1 (1ct 0st),0.291,0.29,0.29,0.00
Yasir Ali (ESP),2019-2019,2019,2019,0,9,9,7,7,0,0,7,2 (2ct 0st),0.777,0.78,0.78,0.00
CA Young (IRE),2015-2019,2015,2019,4,26,25,7,7,0,0,7,2 (2ct 0st),0.28,0.27,0.27,0.00
Abdur Rehman (PAK),2007-2013,2007,2013,6,8,8,6,6,0,0,6,2 (2ct 0st),0.75,0.75,0.75,0.00
DS Airee (NEPAL),2018-2019,2018,2019,1,18,18,6,6,0,0,6,1 (1ct 0st),0.333,0.33,0.33,0.00
PS Airee (NEPAL),2015-2019,2015,2019,4,11,11,6,5,1,3,2,2 (2ct 0st),0.545,0.45,0.55,0.09
Anshuman Rath (HKG),2015-2017,2015,2017,2,20,20,6,6,0,0,6,1 (1ct 0st),0.3,0.30,0.30,0.00
Awais Ahmed (ESP),2019-2019,2019,2019,0,9,9,6,5,1,5,0,1 (1ct 0st),0.666,0.56,0.67,0.11
NW Bracken (AUS),2006-2009,2006,2009,3,19,19,6,6,0,0,6,1 (1ct 0st),0.315,0.32,0.32,0.00
JJ Bumrah (INDIA),2016-2019,2016,2019,3,42,42,6,6,0,0,6,2 (2ct 0st),0.142,0.14,0.14,0.00
PVD Chameera (SL),2015-2018,2015,2018,3,19,19,6,6,0,0,6,2 (2ct 0st),0.315,0.32,0.32,0.00
TLW Cooper (NL),2012-2016,2012,2016,4,18,17,6,6,0,0,6,2 (2ct 0st),0.352,0.33,0.33,0.00
FA Cossa (Moz),2019-2019,2019,2019,0,6,5,6,6,0,0,6,3 (3ct 0st),1.2,1.00,1.00,0.00
AG Cremer (ZIM),2008-2018,2008,2018,10,29,29,6,6,0,0,6,1 (1ct 0st),0.206,0.21,0.21,0.00
ST Finn (ENG),2011-2015,2011,2015,4,21,21,6,6,0,0,6,1 (1ct 0st),0.285,0.29,0.29,0.00
JS Foster (ENG),2009-2009,2009,2009,0,5,5,6,3,3,3,0,2 (1ct 1st),1.2,0.60,1.20,0.60
SO Hetmyer (WI),2018-2019,2018,2019,1,20,20,6,6,0,0,6,2 (2ct 0st),0.3,0.30,0.30,0.00
SD Hope (WI),2017-2019,2017,2019,2,13,13,6,6,0,6,0,2 (2ct 0st),0.461,0.46,0.46,0.00
GJ Hopkins (NZ),2007-2010,2007,2010,3,10,10,6,4,2,2,2,2 (2ct 0st),0.6,0.40,0.60,0.20
Imran Ismail (Moz),2019-2019,2019,2019,0,7,6,6,6,0,5,1,2 (2ct 0st),1,0.86,0.86,0.00
Janak Prakash (SGP),2019-2019,2019,2019,0,12,12,6,6,0,0,6,3 (3ct 0st),0.5,0.50,0.50,0.00
Kamran Khan (QAT),2019-2019,2019,2019,0,14,14,6,6,0,0,6,2 (2ct 0st),0.428,0.43,0.43,0.00
Karim Sadiq (AFG),2010-2018,2010,2018,8,36,36,6,6,0,0,6,1 (1ct 0st),0.166,0.17,0.17,0.00
B Kumar (INDIA),2012-2019,2012,2019,7,43,43,6,6,0,0,6,1 (1ct 0st),0.139,0.14,0.14,0.00
ND Laegsgaard (DEN),2019-2019,2019,2019,0,9,7,6,6,0,0,6,3 (3ct 0st),0.857,0.67,0.67,0.00
TWM Latham (NZ),2012-2017,2012,2017,5,13,13,6,6,0,4,2,3 (3ct 0st),0.461,0.46,0.46,0.00
B Lee (AUS),2005-2012,2005,2012,7,25,25,6,6,0,0,6,3 (3ct 0st),0.24,0.24,0.24,0.00
AR McBrine (IRE),2014-2017,2014,2017,3,19,18,6,6,0,0,6,2 (2ct 0st),0.333,0.32,0.32,0.00
PK Matautaava (VAN),2019-2019,2019,2019,0,10,10,6,6,0,0,6,3 (3ct 0st),0.6,0.60,0.60,0.00
BAW Mendis (SL),2008-2014,2008,2014,6,39,39,6,6,0,0,6,1 (1ct 0st),0.153,0.15,0.15,0.00
BKG Mendis (SL),2016-2019,2016,2019,3,24,24,6,6,0,0,6,1 (1ct 0st),0.25,0.25,0.25,0.00
Mohammad Nawaz (3) (PAK),2016-2018,2016,2018,2,16,16,6,6,0,0,6,1 (1ct 0st),0.375,0.38,0.38,0.00
CH Morris (SA),2012-2019,2012,2019,7,23,23,6,6,0,0,6,2 (2ct 0st),0.26,0.26,0.26,0.00
Muhammad Usman (UAE),2016-2019,2016,2019,3,34,34,6,6,0,0,6,1 (1ct 0st),0.176,0.18,0.18,0.00
Nasir Jamshed (PAK),2012-2013,2012,2013,1,18,18,6,6,0,0,6,2 (2ct 0st),0.333,0.33,0.33,0.00
AR Nurse (WI),2011-2019,2011,2019,8,13,13,6,6,0,0,6,2 (2ct 0st),0.461,0.46,0.46,0.00
Nurul Hasan (BDESH),2016-2017,2016,2017,1,9,9,6,2,4,2,0,2 (0ct 2st),0.666,0.22,0.67,0.44
NN Odhiambo (KENYA),2007-2013,2007,2013,6,24,24,6,6,0,0,6,1 (1ct 0st),0.25,0.25,0.25,0.00
HH Patel (MWI),2019-2019,2019,2019,0,7,7,6,6,0,0,6,2 (2ct 0st),0.857,0.86,0.86,0.00
CW Perchard (JER),2019-2019,2019,2019,0,15,15,6,6,0,0,6,1 (1ct 0st),0.4,0.40,0.40,0.00
BBJL Perera (ITA),2019-2019,2019,2019,0,8,7,6,6,0,0,6,3 (3ct 0st),0.857,0.75,0.75,0.00
AL Phehlukwayo (SA),2017-2019,2017,2019,2,23,23,6,6,0,0,6,2 (2ct 0st),0.26,0.26,0.26,0.00
Rehman Abdul (ITA),2019-2019,2019,2019,0,7,6,6,6,0,0,6,2 (2ct 0st),1,0.86,0.86,0.00
S Samarawickrama (SL),2017-2019,2017,2019,2,7,7,6,4,2,3,1,2 (1ct 1st),0.857,0.57,0.86,0.29
Shafraz Jaleel (Mald),2019-2019,2019,2019,0,4,4,6,4,2,4,0,3 (3ct 0st),1.5,1.00,1.50,0.50
HAM Shah (DEN),2019-2019,2019,2019,0,9,7,6,6,0,0,6,3 (3ct 0st),0.857,0.67,0.67,0.00
TAM Siriwardana (SL),2015-2017,2015,2017,2,22,22,6,6,0,0,6,2 (2ct 0st),0.272,0.27,0.27,0.00
P Utseya (ZIM),2006-2015,2006,2015,9,35,35,6,6,0,0,6,1 (1ct 0st),0.171,0.17,0.17,0.00
MN van Wyk (SA),2007-2015,2007,2015,8,8,8,6,5,1,3,2,1 (1ct 0st),0.75,0.63,0.75,0.13
JNT Vare (PNG),2015-2017,2015,2017,2,8,8,6,4,2,4,0,3 (3ct 0st),0.75,0.50,0.75,0.25
S Vesawkar (NEPAL),2014-2019,2014,2019,5,17,17,6,6,0,0,6,1 (1ct 0st),0.352,0.35,0.35,0.00
Virandeep Singh (MAL),2019-2019,2019,2019,0,12,12,6,6,0,0,6,2 (2ct 0st),0.5,0.50,0.50,0.00
DF Watts (SCOT),2007-2012,2007,2012,5,11,10,6,6,0,0,6,3 (3ct 0st),0.6,0.55,0.55,0.00
Zeeshan Maqsood (OMAN),2015-2019,2015,2019,4,29,28,6,6,0,0,6,2 (2ct 0st),0.214,0.21,0.21,0.00
Aarif Sheikh (NEPAL),2018-2019,2018,2019,1,11,11,5,5,0,0,5,1 (1ct 0st),0.454,0.45,0.45,0.00
Adnan Ilyas (OMAN),2015-2016,2015,2016,1,12,11,5,5,0,0,5,3 (3ct 0st),0.454,0.42,0.42,0.00
KK Ahuja (Mex),2019-2019,2019,2019,0,8,8,5,2,3,1,1,2 (0ct 2st),0.625,0.25,0.63,0.38
CJA Amini (PNG),2015-2019,2015,2019,4,23,23,5,5,0,0,5,1 (1ct 0st),0.217,0.22,0.22,0.00
Anwar Ali (PAK),2008-2016,2008,2016,8,16,16,5,5,0,0,5,2 (2ct 0st),0.312,0.31,0.31,0.00
Ariful Haque (BDESH),2018-2018,2018,2018,0,9,9,5,5,0,0,5,1 (1ct 0st),0.555,0.56,0.56,0.00
SJ Baard (NAM),2019-2019,2019,2019,0,13,13,5,5,0,0,5,2 (2ct 0st),0.384,0.38,0.38,0.00
O Bascome (BMUDA),2019-2019,2019,2019,0,11,11,5,4,1,2,2,2 (2ct 0st),0.454,0.36,0.45,0.09
PKD Chase (IRE),2018-2019,2018,2019,1,12,12,5,5,0,0,5,2 (2ct 0st),0.416,0.42,0.42,0.00
DT Christian (AUS),2010-2017,2010,2017,7,16,16,5,5,0,0,5,2 (2ct 0st),0.312,0.31,0.31,0.00
BCJ Cutting (AUS/World),2013-2017,2013,2017,4,7,7,5,5,0,0,5,3 (3ct 0st),0.714,0.71,0.71,0.00
MD Dai (PNG),2015-2017,2015,2017,2,9,9,5,5,0,0,5,2 (2ct 0st),0.555,0.56,0.56,0.00
A Dananjaya (SL),2012-2019,2012,2019,7,22,22,5,5,0,0,5,1 (1ct 0st),0.227,0.23,0.23,0.00
GJ Delany (IRE),2019-2019,2019,2019,0,17,17,5,5,0,0,5,2 (2ct 0st),0.294,0.29,0.29,0.00
NS Dhaliwal (CAN),2019-2019,2019,2019,0,12,12,5,5,0,0,5,1 (1ct 0st),0.416,0.42,0.42,0.00
AC Douglas (BMUDA),2019-2019,2019,2019,0,10,10,5,5,0,0,5,3 (3ct 0st),0.5,0.50,0.50,0.00
FH Edwards (WI),2007-2012,2007,2012,5,20,20,5,5,0,0,5,1 (1ct 0st),0.25,0.25,0.25,0.00
Fahad Ali (),2019-2019,2019,2019,0,3,3,5,4,1,2,2,3 (2ct 1st),1.666,1.33,1.67,0.33
Faisal Javed (QAT),2019-2019,2019,2019,0,15,15,5,5,0,0,5,1 (1ct 0st),0.333,0.33,0.33,0.00
LB Ferbrache (GUE),2019-2019,2019,2019,0,9,9,5,5,0,0,5,1 (1ct 0st),0.555,0.56,0.56,0.00
A Flintoff (ENG),2005-2007,2005,2007,2,7,7,5,5,0,0,5,2 (2ct 0st),0.714,0.71,0.71,0.00
DM Gondaria (KENYA),2013-2019,2013,2019,6,11,11,5,5,0,0,5,1 (1ct 0st),0.454,0.45,0.45,0.00
NA Greenwood (JER),2019-2019,2019,2019,0,8,8,5,5,0,0,5,3 (3ct 0st),0.625,0.63,0.63,0.00
DAS Gunaratne (SL),2016-2017,2016,2017,1,12,12,5,5,0,0,5,2 (2ct 0st),0.416,0.42,0.42,0.00
