Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
Najibullah Zadran (AFG),2012-2019,2012,2019,7,57,57,27,27,0,0,27,2 (2ct 0st),0.473,0.47,0.47,0.00
NJ O'Brien (IRE),2008-2016,2008,2016,8,30,28,27,17,10,15,2,4 (3ct 1st),0.964,0.57,0.90,0.33
KS Williamson (NZ),2011-2019,2011,2019,8,57,56,27,27,0,0,27,3 (3ct 0st),0.482,0.47,0.47,0.00
NL McCullum (NZ),2007-2016,2007,2016,9,63,63,26,26,0,0,26,3 (3ct 0st),0.412,0.41,0.41,0.00
H Masakadza (ZIM),2006-2019,2006,2019,13,66,66,25,25,0,0,25,3 (3ct 0st),0.378,0.38,0.38,0.00
Mohammad Hafeez (PAK),2006-2018,2006,2018,12,89,89,25,25,0,0,25,2 (2ct 0st),0.28,0.28,0.28,0.00
Sabbir Rahman (BDESH),2014-2019,2014,2019,5,44,43,25,25,0,0,25,3 (3ct 0st),0.581,0.57,0.57,0.00
AJ Finch (AUS),2011-2019,2011,2019,8,58,57,24,24,0,0,24,3 (3ct 0st),0.421,0.41,0.41,0.00
DJ Hussey (AUS),2008-2012,2008,2012,4,39,39,24,24,0,0,24,2 (2ct 0st),0.615,0.62,0.62,0.00
BJ Haddin (AUS),2006-2014,2006,2014,8,34,34,23,17,6,17,0,3 (3ct 0st),0.676,0.50,0.68,0.18
CJ Jordan (ENG),2014-2019,2014,2019,5,43,43,23,23,0,0,23,3 (3ct 0st),0.534,0.53,0.53,0.00
AD Mathews (SL),2009-2018,2009,2018,9,72,72,23,23,0,0,23,2 (2ct 0st),0.319,0.32,0.32,0.00
HH Pandya (INDIA),2016-2019,2016,2019,3,40,40,23,23,0,0,23,2 (2ct 0st),0.575,0.58,0.58,0.00
Soumya Sarkar (BDESH),2015-2019,2015,2019,4,46,45,23,23,0,0,23,2 (2ct 0st),0.511,0.50,0.50,0.00
SR Thompson (IRE),2014-2019,2014,2019,5,41,39,23,23,0,0,23,3 (3ct 0st),0.589,0.56,0.56,0.00
CL White (AUS),2007-2014,2007,2014,7,47,47,23,23,0,0,23,2 (2ct 0st),0.489,0.49,0.49,0.00
AT Carey (AUS),2018-2019,2018,2019,1,25,24,22,13,9,13,0,3 (1ct 2st),0.916,0.52,0.88,0.36
ADS Fletcher (WI),2008-2018,2008,2018,10,42,42,22,21,1,10,11,3 (2ct 1st),0.523,0.50,0.52,0.02
WTS Porterfield (IRE),2008-2018,2008,2018,10,61,59,22,22,0,0,22,2 (2ct 0st),0.372,0.36,0.36,0.00
PR Stirling (IRE),2009-2019,2009,2019,10,72,71,22,22,0,0,22,3 (3ct 0st),0.309,0.31,0.31,0.00
SCJ Broad (ENG),2006-2014,2006,2014,8,56,56,21,21,0,0,21,3 (3ct 0st),0.375,0.38,0.38,0.00
F du Plessis (SA/World),2012-2019,2012,2019,7,44,44,21,21,0,0,21,2 (2ct 0st),0.477,0.48,0.48,0.00
SPD Smith (AUS),2010-2019,2010,2019,9,36,36,21,21,0,0,21,3 (3ct 0st),0.583,0.58,0.58,0.00
Asghar Afghan (AFG),2010-2019,2010,2019,9,66,66,20,20,0,0,20,2 (2ct 0st),0.303,0.30,0.30,0.00
MEK Hussey (AUS),2005-2012,2005,2012,7,38,38,20,20,0,0,20,3 (3ct 0st),0.526,0.53,0.53,0.00
RA Jadeja (INDIA),2009-2019,2009,2019,10,46,46,20,20,0,0,20,2 (2ct 0st),0.434,0.43,0.43,0.00
C Kieswetter (ENG),2010-2012,2010,2012,2,25,25,20,17,3,17,0,3 (2ct 1st),0.8,0.68,0.80,0.12
SL Malinga (SL),2006-2019,2006,2019,13,79,79,20,20,0,0,20,2 (2ct 0st),0.253,0.25,0.25,0.00
CO Obuya (KENYA),2007-2019,2007,2019,12,35,35,20,20,0,0,20,2 (2ct 0st),0.571,0.57,0.57,0.00
L Siaka (PNG),2015-2019,2015,2019,4,26,26,20,20,0,0,20,4 (4ct 0st),0.769,0.77,0.77,0.00
LMP Simmons (WI),2007-2019,2007,2019,12,49,49,20,20,0,1,19,3 (3ct 0st),0.408,0.41,0.41,0.00
SR Watson (AUS),2006-2016,2006,2016,10,58,58,20,20,0,0,20,2 (2ct 0st),0.344,0.34,0.34,0.00
HM Amla (SA/World),2009-2018,2009,2018,9,44,44,19,19,0,0,19,2 (2ct 0st),0.431,0.43,0.43,0.00
CJ Anderson (NZ),2012-2018,2012,2018,6,31,31,19,19,0,0,19,4 (4ct 0st),0.612,0.61,0.61,0.00
MV Boucher (SA),2005-2010,2005,2010,5,25,25,19,18,1,18,0,3 (3ct 0st),0.76,0.72,0.76,0.04
CR Brathwaite (WI),2011-2019,2011,2019,8,41,41,19,19,0,0,19,2 (2ct 0st),0.463,0.46,0.46,0.00
E Chigumbura (ZIM),2006-2019,2006,2019,13,54,54,19,19,0,0,19,2 (2ct 0st),0.351,0.35,0.35,0.00
KJ Coetzer (SCOT),2008-2019,2008,2019,11,58,56,19,19,0,0,19,2 (2ct 0st),0.339,0.33,0.33,0.00
KD Karthik (ICC/INDIA),2006-2019,2006,2019,13,32,31,19,14,5,6,8,3 (3ct 0st),0.612,0.44,0.59,0.16
R Mutumbami (ZIM),2015-2019,2015,2019,4,22,22,19,15,4,11,4,4 (4ct 0st),0.863,0.68,0.86,0.18
RR Patel (KENYA),2008-2019,2008,2019,11,30,30,19,19,0,0,19,3 (3ct 0st),0.633,0.63,0.63,0.00
Shakib Al Hasan (BDESH),2006-2019,2006,2019,13,76,75,19,19,0,0,19,2 (2ct 0st),0.253,0.25,0.25,0.00
BRM Taylor (ZIM),2006-2019,2006,2019,13,38,38,19,17,2,15,2,3 (3ct 0st),0.5,0.45,0.50,0.05
RE van der Merwe (NL/SA),2009-2019,2009,2019,10,43,42,19,19,0,0,19,2 (2ct 0st),0.452,0.44,0.44,0.00
C de Grandhomme (NZ),2012-2019,2012,2019,7,33,33,18,18,0,0,18,4 (4ct 0st),0.545,0.55,0.55,0.00
S Dhawan (INDIA),2011-2019,2011,2019,8,58,58,18,18,0,0,18,2 (2ct 0st),0.31,0.31,0.31,0.00
Gulbadin Naib (AFG),2012-2019,2012,2019,7,45,45,18,18,0,0,18,2 (2ct 0st),0.4,0.40,0.40,0.00
MA Leask (SCOT),2013-2019,2013,2019,6,31,29,18,18,0,0,18,3 (3ct 0st),0.62,0.58,0.58,0.00
C Munro (NZ),2012-2019,2012,2019,7,60,59,18,18,0,0,18,2 (2ct 0st),0.305,0.30,0.30,0.00
JE Root (ENG),2012-2019,2012,2019,7,32,32,18,18,0,0,18,2 (2ct 0st),0.562,0.56,0.56,0.00
Samiullah Shinwari (AFG),2010-2019,2010,2019,9,62,62,18,18,0,0,18,1 (1ct 0st),0.29,0.29,0.29,0.00
GC Smith (SA),2005-2011,2005,2011,6,33,33,18,18,0,0,18,2 (2ct 0st),0.545,0.55,0.55,0.00
Tamim Iqbal (BDESH/ICC/World),2007-2018,2007,2018,11,75,73,18,18,0,0,18,2 (2ct 0st),0.246,0.24,0.24,0.00
Umar Gul (PAK),2007-2016,2007,2016,9,60,60,18,18,0,0,18,2 (2ct 0st),0.3,0.30,0.30,0.00
J Botha (SA),2006-2012,2006,2012,6,40,40,17,17,0,0,17,2 (2ct 0st),0.425,0.43,0.43,0.00
