Player,Span_bat,Start_Year_bat,End_Year_bat,Career_Length_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,HS_Numeric,HS_NotOut,Ave_bat,BF,SR_bat,100,50,0,Runs_Per_Match,Century_Rate,Fifty_Rate,Consistency_Score,Span_bowl,Start_Year_bowl,End_Year_bowl,Career_Length_bowl,Mat_bowl,Inns_bowl,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate,has_batting,has_bowling,player_role_hint
T Shamsi (SA),2016-2019,2016.0,2019.0,4.0,17.0,3.0,2.0,0.0,0*,0.0,1.0,0,2.0,0,0.0,0.0,1.0,0,0,0,0,2016-2019,2016,2019,3,17,17,879,798,19.0,Apr-33,42,5.44,46.2,1,0,1.12,0.18,0.84,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
T Taibu (Afr/ZIM),2001-2012,2001.0,2012.0,12.0,150.0,137.0,21.0,3393.0,107*,107.0,1.0,29.25,5020.0,67.58,2.0,22.0,16.0,22.62,1.33,14.67,44.582,2001-2012,2001,2012,11,150,2,84,61,2.0,Feb-42,30.5,4.35,42,0,0,0.01,0.23,0.08,0.000,2001-2012,2001.0,2012.0,11.0,150.0,150.0,147.0,114.0,33.0,112.0,2.0,4 (4ct 0st),0.98,0.76,0.98,0.22,True,True,All-rounder
T Thushara (SL),2008-2010,2008.0,2010.0,3.0,38.0,27.0,6.0,392.0,54*,54.0,1.0,18.66,424.0,92.45,0.0,1.0,4.0,10.32,0,2.63,48.176,2008-2010,2008,2010,2,38,38,1676,1393,50.0,May-47,27.86,4.98,33.5,0,1,1.32,0.20,0.98,0.026,,,,,,,,,,,,,,,,,True,True,All-rounder
T Yohannan (INDIA),2002-2002,2002.0,2002.0,1.0,3.0,2.0,2.0,7.0,5*,5.0,1.0,-,11.0,63.63,0.0,0.0,0.0,2.33,0,0,#VALUE!,2002-2002,2002,2002,0,3,3,120,122,5.0,Mar-33,24.4,6.1,24,0,0,1.67,0.16,1.22,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
T van der Gugten (NL),2012-2013,2012.0,2013.0,2.0,4.0,2.0,0.0,4.0,2,2.0,0.0,2,6.0,66.66,0.0,0.0,0.0,1,0,0,27.864,2012-2013,2012,2013,1,4,4,126,85,8.0,May-24,10.62,4.04,15.7,0,1,2.00,0.25,1.47,0.250,,,,,,,,,,,,,,,,,True,True,All-rounder
TA Boult (NZ),2012-2019,2012.0,2019.0,8.0,89.0,39.0,23.0,154.0,21*,21.0,1.0,9.62,209.0,73.68,0.0,0.0,1.0,1.73,0,0,35.244,2012-2019,2012,2019,7,89,89,4884,4111,164.0,Jul-34,25.06,5.05,29.7,7,5,1.84,0.20,1.35,0.056,,,,,,,,,,,,,,,,,True,True,All-rounder
TA Lloyd (ENG),1984-1984,1984.0,1984.0,1.0,3.0,3.0,0.0,101.0,49,49.0,0.0,33.66,228.0,44.29,0.0,0.0,0.0,33.67,0,0,37.912,1984-1984,1984,1984,0,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TAM Siriwardana (SL),2015-2019,2015.0,2019.0,5.0,27.0,24.0,1.0,516.0,66,66.0,0.0,22.43,525.0,98.28,0.0,3.0,1.0,19.11,0,11.11,52.77,2015-2019,2015,2019,4,27,21,601,547,9.0,Feb-27,60.77,5.46,66.7,0,0,0.33,0.18,0.29,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TAP Sekhar (INDIA),,,,,,,,,,,,,,,,,,,,,,1983-1985,1983,1985,2,4,4,156,128,5.0,Mar-23,25.6,4.92,31.2,0,0,1.25,0.20,0.94,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
TB Sole (SCOT),2018-2019,2018.0,2019.0,2.0,10.0,7.0,1.0,46.0,20,20.0,0.0,7.66,43.0,106.97,0.0,0.0,0.0,4.6,0,0,47.384,2018-2019,2018,2019,1,10,10,504,387,10.0,Apr-15,38.7,4.6,50.4,1,0,1.00,0.22,0.77,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TBA May (AUS),1987-1995,1987.0,1995.0,9.0,47.0,12.0,8.0,39.0,15,15.0,0.0,9.75,52.0,75,0.0,0.0,0.0,0.83,0,0,35.85,1987-1995,1987,1995,8,47,46,2504,1772,39.0,Mar-19,45.43,4.24,64.2,0,0,0.83,0.24,0.65,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
