Player,Span_bat,Start_Year_bat,End_Year_bat,Career_Length_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,HS_Numeric,HS_NotOut,Ave_bat,BF,SR_bat,100,50,0,Runs_Per_Match,Century_Rate,Fifty_Rate,Consistency_Score,Span_bowl,Start_Year_bowl,End_Year_bowl,Career_Length_bowl,Mat_bowl,Inns_bowl,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate,has_batting,has_bowling,player_role_hint
A Bagai (CAN),2003-2013,2003.0,2013.0,11.0,62.0,60.0,8.0,1964.0,137*,137.0,1.0,37.76,2995.0,65.57,2.0,16.0,2.0,31.68,3.23,25.81,48.884,2003-2013,2003,2013,10,62,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
A Balbirnie (IRE),2010-2019,2010.0,2019.0,10.0,64.0,61.0,4.0,1813.0,145*,145.0,1.0,31.8,2413.0,75.13,5.0,8.0,4.0,28.33,7.81,12.5,49.132,2010-2019,2010,2019,9,64,3,60,68,2.0,Jan-26,34,6.8,30,0,0,0.03,0.15,0.07,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Bhandari (INDIA),2000-2004,2000.0,2004.0,5.0,2.0,1.0,1.0,0.0,0*,0.0,1.0,-,0.0,-,0.0,0.0,0.0,0,0,0,#VALUE!,2000-2004,2000,2004,4,2,2,106,106,5.0,Mar-31,21.2,6,21.2,0,0,2.50,0.17,1.80,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Codrington (CAN),2003-2007,2003.0,2007.0,5.0,9.0,8.0,0.0,47.0,16,16.0,0.0,5.87,92.0,51.08,0.0,0.0,2.0,5.22,0,0,23.954,2003-2007,2003,2007,4,9,8,300,265,10.0,May-27,26.5,5.3,30,0,1,1.11,0.19,0.83,0.111,,,,,,,,,,,,,,,,,True,True,All-rounder
A Dananjaya (SL),2012-2019,2012.0,2019.0,8.0,36.0,27.0,5.0,283.0,50*,50.0,1.0,12.86,411.0,68.85,0.0,1.0,2.0,7.86,0,2.78,35.256,2012-2019,2012,2019,7,36,34,1773,1506,51.0,Jun-29,29.52,5.09,34.7,2,2,1.42,0.20,1.05,0.056,,,,,,,,,,,,,,,,,True,True,All-rounder
A Flintoff (ENG/ICC),1999-2009,1999.0,2009.0,11.0,141.0,122.0,16.0,3394.0,123,123.0,0.0,32.01,3821.0,88.82,3.0,18.0,9.0,24.07,2.13,12.77,54.734,1999-2009,1999,2009,10,141,119,5624,4121,169.0,May-19,24.38,4.39,33.2,6,2,1.20,0.23,0.91,0.014,,,,,,,,,,,,,,,,,True,True,All-rounder
A Flower (ZIM),1992-2003,1992.0,2003.0,12.0,213.0,208.0,16.0,6786.0,145,145.0,0.0,35.34,9097.0,74.59,4.0,55.0,13.0,31.86,1.88,25.82,51.04,1992-2003,1992,2003,11,213,2,30,23,0.0,-,-,4.6,-,0,0,0.00,0.22,0.07,0.000,1992-2003,1992.0,2003.0,11.0,213.0,212.0,173.0,141.0,32.0,133.0,8.0,5 (5ct 0st),0.816,0.66,0.81,0.15,True,True,All-rounder
A Jadeja (INDIA),1992-2000,1992.0,2000.0,9.0,196.0,179.0,36.0,5359.0,119,119.0,0.0,37.47,7677.0,69.8,6.0,30.0,10.0,27.34,3.06,15.31,50.402,1992-2000,1992,2000,8,196,52,1248,1094,20.0,03-Mar,54.7,5.25,62.4,0,0,0.10,0.19,0.13,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Kumble (Asia/INDIA),1990-2007,1990.0,2007.0,18.0,271.0,136.0,47.0,938.0,26,26.0,0.0,10.53,1536.0,61.06,0.0,0.0,18.0,3.46,0,0,30.742,1990-2007,1990,2007,17,271,265,14496,10412,337.0,06-Dec,30.89,4.3,43,8,2,1.24,0.23,0.94,0.007,,,,,,,,,,,,,,,,,True,True,All-rounder
A Kuruvilla (INDIA),1997-1997,1997.0,1997.0,1.0,25.0,11.0,4.0,26.0,7,7.0,0.0,3.71,43.0,60.46,0.0,0.0,1.0,1.04,0,0,26.41,1997-1997,1997,1997,0,25,25,1131,890,25.0,Apr-43,35.6,4.72,45.2,1,0,1.00,0.21,0.76,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Maregwede (ZIM),2003-2005,2003.0,2005.0,3.0,11.0,11.0,1.0,124.0,37,37.0,0.0,12.4,218.0,56.88,0.0,0.0,1.0,11.27,0,0,30.192,2003-2005,2003,2005,2,11,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
A Martin (WI),2011-2011,2011.0,2011.0,1.0,9.0,6.0,5.0,10.0,4*,4.0,1.0,10,29.0,34.48,0.0,0.0,0.0,1.11,0,0,19.792,2011-2011,2011,2011,0,9,9,444,296,11.0,Apr-36,26.9,4,40.3,1,0,1.22,0.25,0.93,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A McGrath (ENG),2003-2004,2003.0,2004.0,2.0,14.0,12.0,2.0,166.0,52,52.0,0.0,16.6,353.0,47.02,0.0,1.0,1.0,11.86,0,7.14,28.768,2003-2004,2003,2004,1,14,7,228,175,4.0,Jan-13,43.75,4.6,57,0,0,0.29,0.22,0.27,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Mishra (INDIA),2003-2016,2003.0,2016.0,14.0,36.0,11.0,3.0,43.0,14,14.0,0.0,5.37,82.0,52.43,0.0,0.0,2.0,1.19,0,0,24.194,2003-2016,2003,2016,13,36,34,1917,1511,64.0,Jun-48,23.6,4.72,29.9,2,2,1.78,0.21,1.31,0.056,,,,,,,,,,,,,,,,,True,True,All-rounder
A Mithun (INDIA),2010-2011,2010.0,2011.0,2.0,5.0,3.0,0.0,51.0,24,24.0,0.0,17,55.0,92.72,0.0,0.0,0.0,10.2,0,0,47.288,2010-2011,2010,2011,1,5,5,180,203,3.0,Feb-32,67.66,6.76,60,0,0,0.60,0.15,0.46,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Nao (PNG),2017-2019,2017.0,2019.0,3.0,13.0,11.0,9.0,90.0,46,46.0,0.0,45,83.0,108.43,0.0,0.0,0.0,6.92,0,0,70.372,2017-2019,2017,2019,2,13,13,613,495,14.0,Mar-40,35.35,4.84,43.7,0,0,1.08,0.21,0.82,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Ndlovu (ZIM),,,,,,,,,,,,,,,,,,,,,,2019-2019,2019,2019,0,2,2,102,80,1.0,Jan-29,80,4.7,102,0,0,0.50,0.21,0.41,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
A Nehra (Asia/INDIA),2001-2011,2001.0,2011.0,11.0,120.0,46.0,21.0,141.0,24,24.0,0.0,5.64,246.0,57.31,0.0,0.0,9.0,1.18,0,0,26.308,2001-2011,2001,2011,10,120,120,5751,4981,157.0,Jun-23,31.72,5.19,36.6,5,2,1.31,0.19,0.97,0.017,,,,,,,,,,,,,,,,,True,True,All-rounder
A Neill (SCOT),2019-2019,2019.0,2019.0,1.0,1.0,1.0,1.0,0.0,0*,0.0,1.0,-,3.0,0,0.0,0.0,0.0,0,0,0,#VALUE!,2019-2019,2019,2019,0,1,1,55,24,1.0,Jan-24,24,2.61,55,0,0,1.00,0.38,0.81,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Nel (SA),2001-2008,2001.0,2008.0,8.0,79.0,22.0,12.0,127.0,30*,30.0,1.0,12.7,166.0,76.5,0.0,0.0,2.0,1.61,0,0,38.22,2001-2008,2001,2008,7,79,76,3801,2935,106.0,May-45,27.68,4.63,35.8,3,1,1.34,0.22,1.00,0.013,,,,,,,,,,,,,,,,,True,True,All-rounder
A Nortje (SA),2019-2019,2019.0,2019.0,1.0,4.0,1.0,0.0,8.0,8,8.0,0.0,8,18.0,44.44,0.0,0.0,0.0,2,0,0,22.576,2019-2019,2019,2019,0,4,4,189,150,8.0,Mar-57,18.75,4.76,23.6,0,0,2.00,0.21,1.46,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Patel (CAN),2003-2003,2003.0,2003.0,1.0,2.0,1.0,0.0,25.0,25,25.0,0.0,25,29.0,86.2,0.0,0.0,0.0,12.5,0,0,49.48,2003-2003,2003,2003,0,2,2,60,73,3.0,Mar-41,24.33,7.3,20,0,0,1.50,0.14,1.09,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Ranatunga (SL),1982-1999,1982.0,1999.0,18.0,269.0,255.0,47.0,7456.0,131*,131.0,1.0,35.84,9571.0,77.9,4.0,49.0,18.0,27.72,1.49,18.22,52.664,1982-1999,1982,1999,17,269,135,4710,3757,79.0,Apr-14,47.55,4.78,59.6,1,0,0.29,0.21,0.27,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Ratra (INDIA),2002-2002,2002.0,2002.0,1.0,12.0,8.0,1.0,90.0,30,30.0,0.0,12.85,127.0,70.86,0.0,0.0,0.0,7.5,0,0,36.054,2002-2002,2002,2002,0,12,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
A Shahzad (ENG),2010-2011,2010.0,2011.0,2.0,11.0,8.0,2.0,39.0,9,9.0,0.0,6.5,60.0,65,0.0,0.0,0.0,3.55,0,0,29.9,2010-2011,2010,2011,1,11,11,588,490,17.0,Mar-41,28.82,5,34.5,0,0,1.55,0.20,1.14,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Shamshudeen (CAN),2007-2007,2007.0,2007.0,1.0,1.0,1.0,0.0,3.0,3,3.0,0.0,3,28.0,10.71,0.0,0.0,0.0,3,0,0,6.084,2007-2007,2007,2007,0,1,1,18,24,0.0,-,-,8,-,0,0,0.00,0.13,0.04,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Symonds (AUS),1998-2009,1998.0,2009.0,12.0,198.0,161.0,33.0,5088.0,156,156.0,0.0,39.75,5504.0,92.44,6.0,30.0,15.0,25.7,3.03,15.15,60.826,1998-2009,1998,2009,11,198,158,5935,4955,133.0,May-18,37.25,5,44.6,2,1,0.67,0.20,0.53,0.005,,,,,,,,,,,,,,,,,True,True,All-rounder
A Turner (AUS),1975-1975,1975.0,1975.0,1.0,6.0,6.0,0.0,247.0,101,101.0,0.0,41.16,309.0,79.93,1.0,0.0,0.0,41.17,16.67,0,56.668,1975-1975,1975,1975,0,6,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
A Vala (PNG),2014-2019,2014.0,2019.0,6.0,27.0,27.0,0.0,739.0,104,104.0,0.0,27.37,1082.0,68.29,1.0,2.0,1.0,27.37,3.7,7.41,43.738,2014-2019,2014,2019,5,27,26,1038,648,27.0,Mar-20,24,3.74,38.4,0,0,1.00,0.27,0.78,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A Zampa (AUS),2016-2019,2016.0,2019.0,4.0,48.0,20.0,5.0,100.0,22,22.0,0.0,6.66,159.0,62.89,0.0,0.0,3.0,2.08,0,0,29.152,2016-2019,2016,2019,3,48,48,2480,2363,65.0,Apr-43,36.35,5.71,38.1,1,0,1.35,0.18,1.00,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
A van der Merwe (IRE),2010-2011,2010.0,2011.0,2.0,9.0,6.0,2.0,15.0,8,8.0,0.0,3.75,25.0,60,0.0,0.0,2.0,1.67,0,0,26.25,2010-2011,2010,2011,1,9,9,432,323,11.0,May-49,29.36,4.48,39.2,0,1,1.22,0.22,0.92,0.111,,,,,,,,,,,,,,,,,True,True,All-rounder
AA Donald (SA),1991-2003,1991.0,2003.0,13.0,164.0,40.0,18.0,95.0,13,13.0,0.0,4.31,279.0,34.05,0.0,0.0,12.0,0.58,0,0,16.206,1991-2003,1991,2003,12,164,162,8561,5926,272.0,Jun-23,21.78,4.15,31.4,11,2,1.66,0.24,1.23,0.012,,,,,,,,,,,,,,,,,True,True,All-rounder
AA Mallett (AUS),1971-1975,1971.0,1975.0,5.0,9.0,3.0,1.0,14.0,8,8.0,0.0,7,36.0,38.88,0.0,0.0,1.0,1.56,0,0,19.752,1971-1975,1971,1975,4,9,9,502,341,11.0,Mar-34,31,4.07,45.6,0,0,1.22,0.25,0.93,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AA Mulla (CAN),2006-2009,2006.0,2009.0,4.0,24.0,24.0,0.0,482.0,58,58.0,0.0,20.08,595.0,81,0.0,1.0,2.0,20.08,0,4.17,44.448,2006-2009,2006,2009,3,24,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AA Noffke (AUS),,,,,,,,,,,,,,,,,,,,,,2008-2008,2008,2008,0,1,1,54,46,1.0,Jan-46,46,5.11,54,0,0,1.00,0.20,0.76,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
AA Obanda (KENYA),2007-2014,2007.0,2014.0,8.0,49.0,45.0,2.0,1306.0,96*,96.0,1.0,30.37,1764.0,74.03,0.0,9.0,2.0,26.65,0,18.37,47.834,2007-2014,2007,2014,7,49,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AAW Gunawardena (SL),1994-1994,1994.0,1994.0,1.0,1.0,1.0,0.0,2.0,2,2.0,0.0,2,10.0,20,0.0,0.0,0.0,2,0,0,9.2,1994-1994,1994,1994,0,1,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AB Agarkar (INDIA),1998-2007,1998.0,2007.0,10.0,191.0,113.0,26.0,1269.0,95,95.0,0.0,14.58,1574.0,80.62,0.0,3.0,10.0,6.64,0,1.57,40.996,1998-2007,1998,2007,9,191,188,9484,8021,288.0,Jun-42,27.85,5.07,32.9,10,2,1.51,0.20,1.11,0.010,,,,,,,,,,,,,,,,,True,True,All-rounder
AB Barath (WI),2010-2012,2010.0,2012.0,3.0,14.0,14.0,1.0,394.0,113,113.0,0.0,30.3,612.0,64.37,1.0,1.0,2.0,28.14,7.14,7.14,43.928,2010-2012,2010,2012,2,14,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AB Dinda (INDIA),2010-2013,2010.0,2013.0,4.0,13.0,5.0,0.0,21.0,16,16.0,0.0,4.2,36.0,58.33,0.0,0.0,2.0,1.62,0,0,25.852,2010-2013,2010,2013,3,13,13,594,612,12.0,Feb-44,51,6.18,49.5,0,0,0.92,0.16,0.69,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AB de Villiers (Afr/SA),2005-2018,2005.0,2018.0,14.0,228.0,218.0,39.0,9577.0,176,176.0,0.0,53.5,9473.0,101.09,25.0,53.0,7.0,42,10.96,23.25,72.536,2005-2018,2005,2018,13,228,9,192,202,7.0,Feb-15,28.85,6.31,27.4,0,0,0.03,0.16,0.07,0.000,2005-2018,2005.0,2018.0,13.0,228.0,223.0,181.0,176.0,5.0,93.0,83.0,5 (5ct 0st),0.8109999999999999,0.77,0.79,0.02,True,True,All-rounder
AC Agar (AUS),2015-2018,2015.0,2018.0,4.0,9.0,8.0,1.0,144.0,46,46.0,0.0,20.57,166.0,86.74,0.0,0.0,2.0,16,0,0,47.038,2015-2018,2015,2018,3,9,9,432,414,8.0,Feb-48,51.75,5.75,54,0,0,0.89,0.17,0.67,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Bedade (INDIA),1994-1994,1994.0,1994.0,1.0,13.0,10.0,3.0,158.0,51,51.0,0.0,22.57,183.0,86.33,0.0,1.0,0.0,12.15,0,7.69,48.074,1994-1994,1994,1994,0,13,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Botha (IRE),2006-2011,2006.0,2011.0,6.0,42.0,38.0,4.0,666.0,56,56.0,0.0,19.58,970.0,68.65,0.0,2.0,5.0,15.86,0,4.76,39.208,2006-2011,2006,2011,5,42,33,1560,1134,42.0,Apr-19,27,4.36,37.1,2,0,1.00,0.23,0.77,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Cummins (CAN/WI),1991-2007,1991.0,2007.0,17.0,76.0,49.0,13.0,486.0,44*,44.0,1.0,13.5,586.0,82.93,0.0,0.0,4.0,6.39,0,0,41.272,1991-2007,1991,2007,16,76,74,3767,2877,91.0,May-31,31.61,4.58,41.3,2,1,1.20,0.22,0.90,0.013,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Dale (AUS),1997-2000,1997.0,2000.0,4.0,30.0,12.0,8.0,78.0,15*,15.0,1.0,19.5,136.0,57.35,0.0,0.0,1.0,2.6,0,0,34.64,1997-2000,1997,2000,3,30,30,1596,979,32.0,Mar-18,30.59,3.68,49.8,0,0,1.07,0.27,0.83,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Dawson (SA),1998-2004,1998.0,2004.0,7.0,19.0,7.0,4.0,69.0,23*,23.0,1.0,23,67.0,102.98,0.0,0.0,0.0,3.63,0,0,54.992,1998-2004,1998,2004,6,19,19,901,715,21.0,Apr-49,34.04,4.76,42.9,1,0,1.11,0.21,0.84,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Evans (SCOT),2009-2019,2009.0,2019.0,11.0,36.0,18.0,8.0,100.0,28,28.0,0.0,10,157.0,63.69,0.0,0.0,2.0,2.78,0,0,31.476,2009-2019,2009,2019,10,36,35,1678,1499,46.0,Apr-41,32.58,5.35,36.4,2,0,1.28,0.19,0.95,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Gilchrist (AUS/ICC),1996-2008,1996.0,2008.0,13.0,287.0,279.0,11.0,9619.0,172,172.0,0.0,35.89,9922.0,96.94,16.0,55.0,19.0,33.52,5.57,19.16,60.31,1996-2008,1996,2008,12,287,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1996-2008,1996.0,2008.0,12.0,287.0,286.0,472.0,417.0,55.0,417.0,0.0,6 (6ct 0st),1.65,1.45,1.64,0.19,True,True,All-rounder
AC Hudson (SA),1991-1997,1991.0,1997.0,7.0,89.0,88.0,1.0,2559.0,161,161.0,0.0,29.41,3960.0,64.62,2.0,18.0,6.0,28.75,2.25,20.22,43.494,1991-1997,1991,1997,6,89,1,6,3,0.0,-,-,3,-,0,0,0.00,0.33,0.10,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Parore (NZ),1992-2002,1992.0,2002.0,11.0,179.0,161.0,32.0,3314.0,108,108.0,0.0,25.68,4867.0,68.09,1.0,14.0,19.0,18.51,0.56,7.82,42.644,1992-2002,1992,2002,10,179,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1992-2002,1992.0,2002.0,10.0,179.0,178.0,141.0,116.0,25.0,111.0,5.0,5 (3ct 2st),0.792,0.65,0.79,0.14,True,True,All-rounder
AC Voges (AUS),2007-2013,2007.0,2013.0,7.0,31.0,28.0,9.0,870.0,112*,112.0,1.0,45.78,998.0,87.17,1.0,4.0,0.0,28.06,3.23,12.9,62.336,2007-2013,2007,2013,6,31,15,301,276,6.0,01-Mar,46,5.5,50.1,0,0,0.19,0.18,0.19,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AC Waller (ZIM),1987-1997,1987.0,1997.0,11.0,39.0,38.0,3.0,818.0,83*,83.0,1.0,23.37,1172.0,69.79,0.0,4.0,4.0,20.97,0,10.26,41.938,1987-1997,1987,1997,10,39,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
ACI Lock (ZIM),1996-1996,1996.0,1996.0,1.0,8.0,3.0,2.0,8.0,5,5.0,0.0,8,20.0,40,0.0,0.0,0.0,1,0,0,20.8,1996-1996,1996,1996,0,8,7,289,219,8.0,May-44,27.37,4.54,36.1,0,1,1.00,0.22,0.77,0.125,,,,,,,,,,,,,,,,,True,True,All-rounder
ACL Richards (WI),2007-2007,2007.0,2007.0,1.0,1.0,1.0,0.0,2.0,2,2.0,0.0,2,2.0,100,0.0,0.0,0.0,2,0,0,41.2,2007-2007,2007,2007,0,1,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Brown (ENG),1996-2001,1996.0,2001.0,6.0,16.0,16.0,0.0,354.0,118,118.0,0.0,22.12,427.0,82.9,1.0,1.0,2.0,22.13,6.25,6.25,46.432,1996-2001,1996,2001,5,16,1,6,5,0.0,-,-,5,-,0,0,0.00,0.20,0.06,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Gaekwad (INDIA),1975-1987,1975.0,1987.0,13.0,15.0,14.0,1.0,269.0,78*,78.0,1.0,20.69,509.0,52.84,0.0,1.0,2.0,17.93,0,6.67,33.55,1975-1987,1975,1987,12,15,1,48,39,1.0,Jan-39,39,4.87,48,0,0,0.07,0.21,0.11,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Hales (ENG),2014-2019,2014.0,2019.0,6.0,70.0,67.0,3.0,2419.0,171,171.0,0.0,37.79,2527.0,95.72,6.0,14.0,5.0,34.56,8.57,20,60.962,2014-2019,2014,2019,5,70,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Mascarenhas (ENG),2007-2009,2007.0,2009.0,3.0,20.0,13.0,2.0,245.0,52,52.0,0.0,22.27,257.0,95.33,0.0,1.0,2.0,12.25,0,5,51.494,2007-2009,2007,2009,2,20,20,822,634,13.0,Mar-23,48.76,4.62,63.2,0,0,0.65,0.22,0.52,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Mathews (SL),2008-2019,2008.0,2019.0,12.0,214.0,184.0,48.0,5812.0,139*,139.0,1.0,42.73,6974.0,83.33,3.0,40.0,15.0,27.16,1.4,18.69,58.97,2008-2019,2008,2019,11,214,155,5083,3907,115.0,Jun-20,33.97,4.61,44.2,1,1,0.54,0.22,0.44,0.005,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Mullally (ENG),1996-2001,1996.0,2001.0,6.0,50.0,25.0,10.0,86.0,20,20.0,0.0,5.73,238.0,36.13,0.0,0.0,6.0,1.72,0,0,17.89,1996-2001,1996,2001,5,50,49,2699,1728,63.0,Apr-18,27.42,3.84,42.8,2,0,1.26,0.26,0.96,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Poynter (IRE),2008-2014,2008.0,2014.0,7.0,19.0,16.0,3.0,255.0,78,78.0,0.0,19.61,412.0,61.89,0.0,2.0,3.0,13.42,0,10.53,36.522,2008-2014,2008,2014,6,19,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AD Russell (WI),2011-2019,2011.0,2019.0,9.0,56.0,47.0,9.0,1034.0,92*,92.0,1.0,27.21,794.0,130.22,0.0,4.0,6.0,18.46,0,7.14,68.414,2011-2019,2011,2019,8,56,55,2290,2229,70.0,Apr-35,31.84,5.84,32.7,5,0,1.25,0.17,0.93,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
ADG Roberts (NZ),1976-1976,1976.0,1976.0,1.0,1.0,1.0,0.0,16.0,16,16.0,0.0,16,24.0,66.66,0.0,0.0,0.0,16,0,0,36.264,1976-1976,1976,1976,0,1,1,56,30,1.0,Jan-30,30,3.21,56,0,0,1.00,0.31,0.79,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
ADJ Pitcher (BMUDA),2007-2007,2007.0,2007.0,1.0,3.0,3.0,0.0,20.0,12,12.0,0.0,6.66,28.0,71.42,0.0,0.0,1.0,6.67,0,0,32.564,2007-2007,2007,2007,0,3,3,79,80,0.0,-,-,6.07,-,0,0,0.00,0.16,0.05,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
ADR Campbell (ZIM),1992-2003,1992.0,2003.0,12.0,188.0,184.0,14.0,5185.0,131*,131.0,1.0,30.5,7834.0,66.18,7.0,30.0,11.0,27.58,3.72,15.96,44.772,1992-2003,1992,2003,11,188,30,509,434,12.0,Feb-20,36.16,5.11,42.4,0,0,0.06,0.20,0.10,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
ADS Fletcher (WI),2008-2016,2008.0,2016.0,9.0,25.0,25.0,0.0,354.0,54,54.0,0.0,14.16,549.0,64.48,0.0,2.0,3.0,14.16,0,8,34.288,2008-2016,2008,2016,8,25,3,28,26,0.0,-,-,5.57,-,0,0,0.00,0.18,0.05,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AE Greenidge (WI),1978-1978,1978.0,1978.0,1.0,1.0,1.0,0.0,23.0,23,23.0,0.0,23,33.0,69.69,0.0,0.0,0.0,23,0,0,41.676,1978-1978,1978,1978,0,1,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AF Buurman (NL),2007-2011,2007.0,2011.0,5.0,17.0,11.0,2.0,140.0,34,34.0,0.0,15.55,179.0,78.21,0.0,0.0,2.0,8.24,0,0,40.614,2007-2011,2007,2011,4,17,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AF Giles (ENG),1997-2005,1997.0,2005.0,9.0,62.0,35.0,13.0,385.0,41,41.0,0.0,17.5,551.0,69.87,0.0,0.0,2.0,6.21,0,0,38.448,1997-2005,1997,2005,8,62,57,2856,2069,55.0,May-57,37.61,4.34,51.9,0,1,0.89,0.23,0.69,0.016,,,,,,,,,,,,,,,,,True,True,All-rounder
AF Milne (NZ),2012-2017,2012.0,2017.0,6.0,40.0,17.0,7.0,168.0,36,36.0,0.0,16.8,165.0,101.81,0.0,0.0,2.0,4.2,0,0,50.804,2012-2017,2012,2017,5,40,39,1801,1581,41.0,Mar-49,38.56,5.26,43.9,0,0,1.03,0.19,0.77,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
AF Sattaur (CAN),2003-2003,2003.0,2003.0,1.0,3.0,3.0,0.0,20.0,13,13.0,0.0,6.66,60.0,33.33,0.0,0.0,1.0,6.67,0,0,17.328,2003-2003,2003,2003,0,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
AFG Griffith (WI),1996-2000,1996.0,2000.0,5.0,9.0,8.0,1.0,99.0,47,47.0,0.0,14.14,177.0,55.93,0.0,0.0,0.0,11,0,0,30.856,1996-2000,1996,2000,4,9,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
