Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
Mirwais Ashraf (AFG),2010-2016,2010,2016,6,25,19,8,128,28*,28,1,11.63,115,111.3,0,0,2,5,8, 5.12 ,0.00,0.00,51.50
HR Walsh (USA/WI),2019-2019,2019,2019,0,13,9,1,128,28,28,0,16,129,99.22,0,0,0,8,3, 9.85 ,0.00,0.00,49.29
CK Coventry (ZIM),2010-2015,2010,2015,5,13,12,2,127,30,30,0,12.7,90,141.11,0,0,2,14,6, 9.77 ,0.00,0.00,64.06
PG Fulton (NZ),2006-2012,2006,2012,6,12,12,1,127,25,25,0,11.54,140,90.71,0,0,2,7,6, 10.58 ,0.00,0.00,43.21
MA Ouma (KENYA),2007-2013,2007,2013,6,22,19,1,127,19,19,0,7.05,160,79.37,0,0,3,15,1, 5.77 ,0.00,0.00,35.98
MJ Prior (ENG),2007-2010,2007,2010,3,10,8,2,127,32,32,0,21.16,100,127,0,0,1,11,5, 12.70 ,0.00,0.00,63.50
MWR Stokes (GUE),2019-2019,2019,2019,0,9,7,0,127,29,29,0,18.14,152,83.55,0,0,0,10,0, 14.11 ,0.00,0.00,44.30
Najjam Shahzad (PORT),2019-2019,2019,2019,0,4,3,2,126,53*,53,1,126,97,129.89,0,1,0,4,10, 31.50 ,0.00,25.00,127.56
AJ Redmond (NZ),2009-2010,2009,2010,1,7,6,0,126,63,63,0,21,84,150,0,1,0,19,2, 18.00 ,0.00,14.29,72.60
JT Smuts (SA),2017-2018,2017,2018,1,8,8,0,126,45,45,0,15.75,114,110.52,0,0,1,14,5, 15.75 ,0.00,0.00,53.66
AT Carey (AUS),2018-2019,2018,2019,1,25,13,4,125,37*,37,1,13.88,101,123.76,0,0,0,10,4, 5.00 ,0.00,0.00,57.83
Amir Mangal (GER),2019-2019,2019,2019,0,9,9,3,124,40,40,0,20.66,78,158.97,0,0,0,10,8, 13.78 ,0.00,0.00,75.98
Mohammed Asghar (KUW),2019-2019,2019,2019,0,4,4,0,124,45,45,0,31,91,136.26,0,0,0,13,5, 31.00 ,0.00,0.00,73.10
S Muniandy (MAL),2019-2019,2019,2019,0,15,13,4,124,27,27,0,13.77,103,120.38,0,0,2,7,7, 8.27 ,0.00,0.00,56.41
BA Pai (GIBR),2019-2019,2019,2019,0,4,4,0,124,52,52,0,31,141,87.94,0,1,0,6,1, 31.00 ,0.00,25.00,53.78
RJ Peterson (SA),2006-2014,2006,2014,8,21,12,4,124,34,34,0,15.5,113,109.73,0,0,1,13,2, 5.90 ,0.00,0.00,53.19
R Ashwin (INDIA),2010-2017,2010,2017,7,46,11,7,123,31*,31,1,30.75,115,106.95,0,0,0,14,1, 2.67 ,0.00,0.00,61.23
AD Mascarenhas (ENG),2007-2009,2007,2009,2,14,13,5,123,31,31,0,15.37,100,123,0,0,3,8,5, 8.79 ,0.00,0.00,58.42
SM Sharif (SCOT),2012-2019,2012,2019,7,42,18,9,123,26,26,0,13.66,100,123,0,0,2,8,3, 2.93 ,0.00,0.00,57.40
AW Hawkins-Kay (JER),2019-2019,2019,2019,0,16,13,5,122,27*,27,1,15.25,136,89.7,0,0,1,8,0, 7.63 ,0.00,0.00,45.03
KM Jadhav (INDIA),2015-2017,2015,2017,2,9,6,0,122,58,58,0,20.33,99,123.23,0,1,0,12,3, 13.56 ,0.00,11.11,61.49
Muhamad Syahadat (MAL),2019-2019,2019,2019,0,10,9,3,122,41*,41,1,20.33,102,119.6,0,0,0,9,6, 12.20 ,0.00,0.00,60.04
CN Onwuzulike (NGA),2019-2019,2019,2019,0,9,9,1,122,46*,46,1,15.25,126,96.82,0,0,2,5,5, 13.56 ,0.00,0.00,47.88
Shadab Khan (PAK),2017-2019,2017,2019,2,38,14,5,122,29,29,0,13.55,96,127.08,0,0,2,6,6, 3.21 ,0.00,0.00,58.96
DAJ Bracewell (NZ),2011-2019,2011,2019,8,18,10,5,121,44,44,0,24.2,83,145.78,0,0,2,6,9, 6.72 ,0.00,0.00,72.83
KH Pandya (INDIA),2018-2019,2018,2019,1,18,9,4,121,26*,26,1,24.2,92,131.52,0,0,0,8,6, 6.72 ,0.00,0.00,67.13
DR Martyn (AUS),2005-2006,2005,2006,1,4,4,0,120,96,96,0,30,74,162.16,0,1,0,11,5, 30.00 ,0.00,25.00,82.86
Imrul Kayes (BDESH),2010-2017,2010,2017,7,14,13,0,119,36,36,0,9.15,134,88.8,0,0,4,14,3, 8.50 ,0.00,0.00,41.01
AA Onikoyi (NGA),2019-2019,2019,2019,0,9,8,0,119,49,49,0,14.87,144,82.63,0,0,1,8,4, 13.22 ,0.00,0.00,41.97
SCJ Broad (ENG),2006-2014,2006,2014,8,56,26,10,118,18*,18,1,7.37,118,100,0,0,2,7,3, 2.11 ,0.00,0.00,44.42
Sajid Cheema (Saudi),2019-2019,2019,2019,0,5,5,0,118,47,47,0,23.6,97,121.64,0,0,0,12,5, 23.60 ,0.00,0.00,62.82
JE Taylor (WI),2006-2018,2006,2018,12,30,15,6,118,21,21,0,13.11,92,128.26,0,0,1,10,6, 3.93 ,0.00,0.00,59.17
Mehran Khan (OMAN),2015-2019,2015,2019,4,19,13,2,117,29,29,0,10.63,106,110.37,0,0,1,7,5, 6.16 ,0.00,0.00,50.53
Mohammad Mithun (BDESH),2014-2019,2014,2019,5,14,10,0,117,47,47,0,11.7,125,93.6,0,0,2,9,4, 8.36 ,0.00,0.00,44.46
Naseem Khushi (OMAN),2017-2019,2017,2019,2,10,8,2,117,29,29,0,19.5,77,151.94,0,0,2,6,8, 11.70 ,0.00,0.00,72.48
H Singh (GER),2019-2019,2019,2019,0,7,6,3,117,44*,44,1,39,102,114.7,0,0,0,6,3, 16.71 ,0.00,0.00,69.28
Ziaur Rahman (BDESH),2012-2014,2012,2014,2,14,12,3,117,40*,40,1,13,91,128.57,0,0,3,3,10, 8.36 ,0.00,0.00,59.23
Aritra Dutta (SGP),2019-2019,2019,2019,0,8,8,0,116,33,33,0,14.5,114,101.75,0,0,0,8,5, 14.50 ,0.00,0.00,49.40
Shahzaib Hasan (PAK),2009-2010,2009,2010,1,10,10,0,116,35,35,0,11.6,130,89.23,0,0,3,13,3, 11.60 ,0.00,0.00,42.65
K Motlhanka (Botsw),2019-2019,2019,2019,0,7,7,0,115,59,59,0,16.42,123,93.49,0,1,0,11,2, 16.43 ,0.00,14.29,47.25
Sami Sohail (MWI),2019-2019,2019,2019,0,7,5,4,115,33*,33,1,115,97,118.55,0,0,0,10,2, 16.43 ,0.00,0.00,116.42
K Dasan (),2019-2019,2019,2019,0,3,3,0,114,74,74,0,38,108,105.55,0,1,0,10,2, 38.00 ,0.00,33.33,65.02
S Kaveri (Mex),2019-2019,2019,2019,0,7,6,1,114,43,43,0,22.8,146,78.08,0,0,0,9,1, 16.29 ,0.00,0.00,44.91
WD Parnell (SA),2009-2017,2009,2017,8,40,13,9,114,29*,29,1,28.5,96,118.75,0,0,0,10,3, 2.85 ,0.00,0.00,64.60
Chirag Suri (UAE),2018-2019,2018,2019,1,7,7,1,113,44*,44,1,18.83,121,93.38,0,0,0,10,2, 16.14 ,0.00,0.00,48.65
DL Maddy (ENG),2007-2007,2007,2007,0,4,4,0,113,50,50,0,28.25,80,141.25,0,1,0,12,3, 28.25 ,0.00,25.00,73.45
M Abdulla (MWI),2019-2019,2019,2019,0,5,5,2,112,42*,42,1,37.33,100,112,0,0,0,11,2, 22.40 ,0.00,0.00,67.20
Fiaz Ahmed (BAH),2019-2019,2019,2019,0,4,4,2,112,62*,62,1,56,72,155.55,0,1,1,6,8, 28.00 ,0.00,25.00,95.82
SP Khakurel (NEPAL),2014-2015,2014,2015,1,8,8,0,112,56,56,0,14,139,80.57,0,1,0,10,1, 14.00 ,0.00,12.50,40.63
JS Malhotra (USA),2019-2019,2019,2019,0,6,6,0,112,38,38,0,18.66,104,107.69,0,0,0,12,2, 18.67 ,0.00,0.00,54.27
Mohammad Boota (UAE),2019-2019,2019,2019,0,16,12,4,112,20*,20,1,14,100,112,0,0,1,7,5, 7.00 ,0.00,0.00,53.20
Mudassar Muhammad (GER),2019-2019,2019,2019,0,7,7,0,112,30,30,0,16,135,82.96,0,0,0,5,3, 16.00 ,0.00,0.00,42.78
AP Devcich (NZ),2013-2014,2013,2014,1,4,4,0,111,59,59,0,27.75,79,140.5,0,1,0,17,2, 27.75 ,0.00,25.00,72.85
JO Holder (WI),2014-2019,2014,2019,5,17,11,2,111,26*,26,1,12.33,84,132.14,0,0,2,10,4, 6.53 ,0.00,0.00,60.25
Imran Ali Butt (BAH),2019-2019,2019,2019,0,4,4,0,111,58,58,0,27.75,101,109.9,0,2,2,5,6, 27.75 ,0.00,50.00,60.61
JNK Shannon (IRE),2013-2018,2013,2018,5,8,8,0,111,60,60,0,13.87,84,132.14,0,1,1,12,5, 13.88 ,0.00,12.50,61.18
SP Fleming (NZ),2005-2006,2005,2006,1,5,5,0,110,38,38,0,22,85,129.41,0,0,0,20,0, 22.00 ,0.00,0.00,64.96
A Lark (Aut),2019-2019,2019,2019,0,5,4,0,110,43,43,0,27.5,121,90.9,0,0,1,15,0, 22.00 ,0.00,0.00,52.86
Anwar Ali (PAK),2008-2016,2008,2016,8,16,11,4,109,46,46,0,15.57,77,141.55,0,0,0,6,6, 6.81 ,0.00,0.00,65.96
MG Johnson (AUS),2007-2013,2007,2013,6,30,17,7,109,28*,28,1,10.9,95,114.73,0,0,2,8,3, 3.63 ,0.00,0.00,52.43
T van der Gugten (NL),2012-2019,2012,2019,7,39,11,4,109,40*,40,1,15.57,81,134.56,0,0,1,4,6, 2.79 ,0.00,0.00,63.17
Harbhajan Singh (INDIA),2006-2016,2006,2016,10,28,13,5,108,21,21,0,13.5,87,124.13,0,0,1,11,4, 3.86 ,0.00,0.00,57.75
Mohammad Saifuddin (BDESH),2017-2019,2017,2019,2,13,9,3,108,39*,39,1,18,95,113.68,0,0,0,9,3, 8.31 ,0.00,0.00,56.27
B Zuiderent (NL),2009-2010,2009,2010,1,6,6,1,108,43*,43,1,21.6,124,87.09,0,0,0,8,1, 18.00 ,0.00,0.00,47.80
OGL Bascome (BMUDA),2019-2019,2019,2019,0,11,11,1,107,22,22,0,10.7,117,91.45,0,0,0,12,3, 9.73 ,0.00,0.00,43.00
SO Ngoche (KENYA),2010-2019,2010,2019,9,28,18,5,107,38,38,0,8.23,118,90.67,0,0,2,5,4, 3.82 ,0.00,0.00,41.21
GJ Thompson (IRE),2016-2019,2016,2019,3,10,8,1,107,44,44,0,15.28,108,99.07,0,0,2,14,1, 10.70 ,0.00,0.00,48.80
V Vijh (LUX),2019-2019,2019,2019,0,4,4,2,107,64*,64,1,53.5,119,89.91,0,1,0,13,1, 26.75 ,0.00,25.00,68.06
K Doriga (PNG),2019-2019,2019,2019,0,17,11,1,106,43*,43,1,10.6,103,102.91,0,0,0,3,3, 6.24 ,0.00,0.00,47.52
NA Maiolo (ITA),2019-2019,2019,2019,0,8,7,1,106,39*,39,1,17.66,104,101.92,0,0,0,11,2, 13.25 ,0.00,0.00,51.36
MD Dai (PNG),2015-2017,2015,2017,2,9,8,0,105,31,31,0,13.12,128,82.03,0,0,0,4,0, 11.67 ,0.00,0.00,40.68
OJ Hairs (SCOT),2019-2019,2019,2019,0,8,8,1,105,26,26,0,15,64,164.06,0,0,2,4,10, 13.13 ,0.00,0.00,74.62
JR Hopes (AUS),2005-2010,2005,2010,5,12,7,2,105,30,30,0,21,98,107.14,0,0,0,7,1, 8.75 ,0.00,0.00,55.46
ND Laegsgaard (DEN),2019-2019,2019,2019,0,9,8,1,105,39,39,0,15,96,109.37,0,0,0,11,2, 11.67 ,0.00,0.00,52.75
M Mosehle (SA),2017-2017,2017,2017,0,7,6,1,105,36,36,0,21,65,161.53,0,0,0,6,9, 15.00 ,0.00,0.00,77.21
Meet Bhavsar (KUW),2019-2019,2019,2019,0,9,7,1,104,38,38,0,17.33,88,118.18,0,0,0,10,1, 11.56 ,0.00,0.00,57.67
LA Dunbar (Serb),2019-2019,2019,2019,0,2,2,1,104,104*,104,1,104,62,167.74,1,0,1,5,10, 52.00 ,50.00,0.00,129.50
Sultan Ahmed (OMAN),2015-2017,2015,2017,2,17,12,3,104,37*,37,1,11.55,83,125.3,0,0,3,14,0, 6.12 ,0.00,0.00,57.05
GP Swann (ENG),2008-2012,2008,2012,4,39,16,11,104,34,34,0,20.8,89,116.85,0,0,2,9,1, 2.67 ,0.00,0.00,59.22
SM Davies (ENG),2009-2011,2009,2011,2,5,5,0,102,33,33,0,20.4,82,124.39,0,0,0,12,0, 20.40 ,0.00,0.00,62.00
Rehman Abdul (ITA),2019-2019,2019,2019,0,7,5,3,102,37*,37,1,51,103,99.02,0,0,0,7,3, 14.57 ,0.00,0.00,70.21
Suraj Kumar (OMAN),2019-2019,2019,2019,0,13,9,2,102,42*,42,1,14.57,89,114.6,0,0,0,9,3, 7.85 ,0.00,0.00,54.58
LJ Tucker (IRE),2016-2019,2016,2019,3,14,11,1,102,22*,22,1,10.2,99,103.03,0,0,1,10,1, 7.29 ,0.00,0.00,47.33
Ammad Uddin (BAH),2019-2019,2019,2019,0,4,4,1,101,40*,40,1,33.66,53,190.56,0,0,0,11,5, 25.25 ,0.00,0.00,96.42
MNR Cooray (Mald),2019-2019,2019,2019,0,4,3,1,101,56*,56,1,50.5,77,131.16,0,1,0,12,3, 25.25 ,0.00,25.00,82.76
S Jora (NEPAL),2019-2019,2019,2019,0,6,6,1,101,53*,53,1,20.2,83,121.68,0,1,1,5,4, 16.83 ,0.00,16.67,60.79
AV Lalcheta (OMAN),2015-2019,2015,2019,4,17,10,2,101,20,20,0,12.62,82,123.17,0,0,0,9,4, 5.94 ,0.00,0.00,56.84
B Lee (AUS),2005-2012,2005,2012,7,25,12,6,101,43*,43,1,16.83,71,142.25,0,0,2,9,4, 4.04 ,0.00,0.00,67.00
Mohammed Nurji (MWI),2019-2019,2019,2019,0,6,5,3,101,36,36,0,50.5,59,171.18,0,0,0,8,6, 16.83 ,0.00,0.00,98.77
T Perera (Botsw),2019-2019,2019,2019,0,6,6,0,101,30,30,0,16.83,127,79.52,0,0,0,16,0, 16.83 ,0.00,0.00,41.91
V Shankar (INDIA),2018-2019,2018,2019,1,9,4,0,101,43,43,0,25.25,73,138.35,0,0,0,11,5, 11.22 ,0.00,0.00,70.49
S Dhaniram (CAN),2008-2010,2008,2010,2,11,9,0,100,26,26,0,11.11,123,81.3,0,0,0,6,2, 9.09 ,0.00,0.00,39.19
Hamza Tariq (CAN),2013-2019,2013,2019,6,15,11,1,100,33,33,0,10,82,121.95,0,0,2,4,5, 6.67 ,0.00,0.00,54.78
T Maruma (ZIM),2008-2019,2008,2019,11,13,13,4,100,23*,23,1,11.11,109,91.74,0,0,1,6,4, 7.69 ,0.00,0.00,43.36
BS Stephenson (Blz),2019-2019,2019,2019,0,3,3,0,100,48,48,0,33.33,72,138.88,0,0,0,9,7, 33.33 ,0.00,0.00,75.55
BR Dunk (AUS),2014-2017,2014,2017,3,5,5,0,99,32,32,0,19.8,69,143.47,0,0,0,8,6, 19.80 ,0.00,0.00,69.27
BFW de Leede (NL),2018-2019,2018,2019,1,8,7,1,98,33,33,0,16.33,114,85.96,0,0,0,4,2, 12.25 ,0.00,0.00,44.18
Irfan Bhima (MWI),2019-2019,2019,2019,0,4,4,0,98,52,52,0,24.5,88,111.36,0,1,2,13,2, 24.50 ,0.00,25.00,59.24
Janak Prakash (SGP),2019-2019,2019,2019,0,12,11,3,98,25*,25,1,12.25,78,125.64,0,0,2,9,3, 8.17 ,0.00,0.00,57.61
BR McDermott (AUS),2018-2019,2018,2019,1,12,10,3,98,32*,32,1,14,105,93.33,0,0,2,6,2, 8.17 ,0.00,0.00,45.73
TK Musakanda (ZIM),2018-2018,2018,2018,0,6,6,0,98,43,43,0,16.33,80,122.5,0,0,2,7,2, 16.33 ,0.00,0.00,58.80
Amir Ali (OMAN),2015-2016,2015,2016,1,10,8,3,97,32*,32,1,19.4,65,149.23,0,0,0,11,2, 9.70 ,0.00,0.00,71.33
BOP Fernando (SL),2019-2019,2019,2019,0,3,3,1,97,78*,78,1,48.5,73,132.87,0,1,0,10,3, 32.33 ,0.00,33.33,82.25
DJ Mitchell (NZ),2019-2019,2019,2019,0,9,9,3,97,30*,30,1,16.16,79,122.78,0,0,0,5,4, 10.78 ,0.00,0.00,58.81
Muhammad Kaleem (UAE),2016-2016,2016,2016,0,9,9,0,97,50,50,0,10.77,116,83.62,0,1,1,9,3, 10.78 ,0.00,11.11,39.91
Aminuddin Ramly (MAL),2019-2019,2019,2019,0,10,9,2,97,33,33,0,13.85,59,164.4,0,0,1,3,9, 9.70 ,0.00,0.00,74.07
AM Samad (CAN),2008-2010,2008,2010,2,7,6,0,97,29,29,0,16.16,88,110.22,0,0,1,8,4, 13.86 ,0.00,0.00,53.78
S Samarawickrama (SL),2017-2019,2017,2019,2,7,7,0,97,32,32,0,13.85,93,104.3,0,0,1,9,0, 13.86 ,0.00,0.00,50.03
AJ Staal (NL),2019-2019,2019,2019,0,9,8,2,97,28*,28,1,16.16,79,122.78,0,0,2,5,5, 10.78 ,0.00,0.00,58.81
GM Strydom (Caym),2019-2019,2019,2019,0,6,6,0,97,49,49,0,16.16,89,108.98,0,0,2,6,5, 16.17 ,0.00,0.00,53.29
Zaheer Ibrahim (QAT),2019-2019,2019,2019,0,13,11,3,97,27*,27,1,12.12,89,108.98,0,0,2,7,5, 7.46 ,0.00,0.00,50.86
Ahmed Raza (UAE),2014-2019,2014,2019,5,36,14,7,96,22,22,0,13.71,123,78.04,0,0,1,2,4, 2.67 ,0.00,0.00,39.44
RS Morton (WI),2006-2010,2006,2010,4,7,7,1,96,40,40,0,16,103,93.2,0,0,1,8,2, 13.71 ,0.00,0.00,46.88
Razmal Shigiwal (Aut),2019-2019,2019,2019,0,4,3,0,96,53,53,0,32,78,123.07,0,1,0,3,8, 24.00 ,0.00,25.00,68.43
ML Udawatte (SL),2008-2017,2008,2017,9,8,8,0,96,25,25,0,12,87,110.34,0,0,2,10,2, 12.00 ,0.00,0.00,51.34
MH Yardy (ENG),2006-2011,2006,2011,5,14,8,5,96,35*,35,1,32,72,133.33,0,0,3,9,1, 6.86 ,0.00,0.00,72.53
TM Odoyo (KENYA),2007-2013,2007,2013,6,11,10,0,95,22,22,0,9.5,119,79.83,0,0,1,6,2, 8.64 ,0.00,0.00,37.63
NS Poonia (SCOT),2007-2010,2007,2010,3,8,7,2,95,38*,38,1,19,108,87.96,0,0,2,3,1, 11.88 ,0.00,0.00,46.58
Shamsudheen Purat (Saudi),2019-2019,2019,2019,0,3,3,1,95,88*,88,1,47.5,53,179.24,0,1,1,8,7, 31.67 ,0.00,33.33,100.20
HJ Jordaan (THAI),2019-2019,2019,2019,0,4,4,1,94,37*,37,1,31.33,107,87.85,0,0,0,8,0, 23.50 ,0.00,0.00,53.94
Mehidy Hasan Miraz (BDESH),2017-2018,2017,2018,1,13,11,2,94,19*,19,1,10.44,80,117.5,0,0,2,7,4, 7.23 ,0.00,0.00,53.26
JH Stander (SCOT),2009-2012,2009,2012,3,11,11,2,94,45,45,0,10.44,90,104.44,0,0,3,6,4, 8.55 ,0.00,0.00,48.04
JJ Tucker (BMUDA),2019-2019,2019,2019,0,5,5,1,94,50*,50,1,23.5,97,96.9,0,1,0,11,1, 18.80 ,0.00,20.00,52.86
P Utseya (ZIM),2006-2015,2006,2015,9,35,21,9,94,13*,13,1,7.83,115,81.73,0,0,3,6,1, 2.69 ,0.00,0.00,37.39
J Cutinho (CRC),2019-2019,2019,2019,0,3,3,0,93,46,46,0,31,98,94.89,0,0,0,7,4, 31.00 ,0.00,0.00,56.56
Walid Ghauri (NOR),2019-2019,2019,2019,0,4,4,1,93,44*,44,1,31,80,116.25,0,0,0,10,2, 23.25 ,0.00,0.00,65.10
JL Denly (ENG),2009-2019,2009,2019,10,10,9,1,92,30,30,0,11.5,93,98.92,0,0,2,11,1, 9.20 ,0.00,0.00,46.47
MC Sorensen (IRE),2012-2016,2012,2016,4,26,11,6,92,26,26,0,18.4,79,116.45,0,0,1,4,3, 3.54 ,0.00,0.00,57.62
D Wiese (SA),2013-2016,2013,2016,3,20,11,4,92,28,28,0,13.14,75,122.66,0,0,1,4,3, 4.60 ,0.00,0.00,56.95
Yasir Arafat (PAK),2007-2012,2007,2012,5,13,11,4,92,17,17,0,13.14,79,116.45,0,0,0,8,2, 7.08 ,0.00,0.00,54.46
Anwar Arudin (MAL),2019-2019,2019,2019,0,12,12,0,91,32,32,0,7.58,98,92.85,0,0,3,10,2, 7.58 ,0.00,0.00,41.69
Raees Ahmadzai (AFG),2010-2010,2010,2010,0,8,6,3,91,33*,33,1,30.33,84,108.33,0,0,0,5,1, 11.38 ,0.00,0.00,61.53
Saeed Ajmal (PAK),2009-2015,2009,2015,6,64,23,12,91,21*,21,1,8.27,86,105.81,0,0,3,7,2, 1.42 ,0.00,0.00,47.29
CR Woakes (ENG),2011-2015,2011,2015,4,8,7,4,91,37,37,0,30.33,63,144.44,0,0,1,4,5, 11.38 ,0.00,0.00,75.97
GM Hamilton (SCOT),2007-2010,2007,2010,3,12,8,0,90,32,32,0,11.25,110,81.81,0,0,0,6,1, 7.50 ,0.00,0.00,39.47
JN Mohammed (WI),2017-2018,2017,2018,1,9,8,3,90,23*,23,1,18,103,87.37,0,0,1,9,1, 10.00 ,0.00,0.00,45.75
Muhammad Naeem (Saudi),2019-2019,2019,2019,0,5,4,2,90,42,42,0,45,91,98.9,0,0,1,7,1, 18.00 ,0.00,0.00,66.56
Sagar Pun (NEPAL),2014-2015,2014,2015,1,9,9,0,90,20,20,0,10,100,90,0,0,0,13,0, 10.00 ,0.00,0.00,42.00
DLS van Bunge (NL),2008-2013,2008,2013,5,14,12,4,90,24,24,0,11.25,104,86.53,0,0,2,2,3, 6.43 ,0.00,0.00,41.36
GH Worker (NZ),2015-2015,2015,2015,0,2,2,0,90,62,62,0,45,64,140.62,0,1,0,6,5, 45.00 ,0.00,50.00,83.25
S Adedeji (NGA),2019-2019,2019,2019,0,6,6,2,89,51*,51,1,22.25,114,78.07,0,1,1,5,2, 14.83 ,0.00,16.67,44.58
Mohammad Nadeem (OMAN),2015-2019,2015,2019,4,22,13,3,89,29,29,0,8.9,106,83.96,0,0,1,7,0, 4.05 ,0.00,0.00,38.92
A Otwani (UGA),2019-2019,2019,2019,0,4,4,0,89,44,44,0,22.25,78,114.1,0,0,0,13,1, 22.25 ,0.00,0.00,58.99
A Ferguson (Arg),2019-2019,2019,2019,0,5,3,1,88,51,51,0,44,100,88,0,1,0,5,1, 17.60 ,0.00,20.00,61.60
N Madziva (ZIM),2015-2019,2015,2019,4,15,10,5,88,28*,28,1,17.6,80,110,0,0,1,4,5, 5.87 ,0.00,0.00,54.56
Md Shafiqul Haque (THAI),2019-2019,2019,2019,0,4,4,0,88,38,38,0,22,62,141.93,0,0,0,5,6, 22.00 ,0.00,0.00,69.97
Zishan Shah (DEN),2019-2019,2019,2019,0,6,5,1,88,50,50,0,22,87,101.14,0,1,0,7,1, 14.67 ,0.00,16.67,53.66
PS Airee (NEPAL),2015-2019,2015,2019,4,11,11,0,87,29,29,0,7.9,93,93.54,0,0,4,10,1, 7.91 ,0.00,0.00,42.16
SC Getkate (IRE),2019-2019,2019,2019,0,14,12,2,87,24,24,0,8.7,73,119.17,0,0,1,4,4, 6.21 ,0.00,0.00,52.89
Mandeep Singh (INDIA),2016-2016,2016,2016,0,3,3,1,87,52*,52,1,43.5,73,119.17,0,1,0,11,1, 29.00 ,0.00,33.33,73.77
D Pretorius (SA),2017-2019,2017,2019,2,6,2,2,87,77*,77,1,-,49,177.55,0,1,0,7,4, 14.50 ,0.00,16.67,#VALUE!
Raza Iqbal (NOR),2019-2019,2019,2019,0,5,5,0,87,39,39,0,17.4,89,97.75,0,0,0,13,0, 17.40 ,0.00,0.00,49.54
DI Allan (KENYA),2012-2013,2012,2013,1,10,10,0,86,18,18,0,8.6,135,63.7,0,0,0,7,0, 8.60 ,0.00,0.00,30.64
AR Gandhi (KENYA),2019-2019,2019,2019,0,3,3,1,86,50,50,0,43,98,87.75,0,1,0,5,1, 28.67 ,0.00,33.33,60.90
GJ Hopkins (NZ),2007-2010,2007,2010,3,10,8,0,86,36,36,0,10.75,71,121.12,0,0,0,5,5, 8.60 ,0.00,0.00,54.90
SM Pollock (SA),2005-2008,2005,2008,3,12,9,2,86,36*,36,1,12.28,70,122.85,0,0,3,4,4, 7.17 ,0.00,0.00,56.51
Shamsur Rahman (BDESH),2013-2014,2013,2014,1,9,8,0,86,53,53,0,10.75,85,101.17,0,1,2,12,1, 9.56 ,0.00,11.11,46.92
DP Michael (Samoa),2019-2019,2019,2019,0,4,4,1,85,55*,55,1,28.33,82,103.65,0,1,1,1,6, 21.25 ,0.00,25.00,58.46
AR Nurse (WI),2011-2019,2011,2019,8,13,8,6,85,20*,20,1,42.5,71,119.71,0,0,0,7,3, 6.54 ,0.00,0.00,73.38
MD Patel (USA),2019-2019,2019,2019,0,8,8,1,85,26,26,0,12.14,88,96.59,0,0,0,6,4, 10.63 ,0.00,0.00,45.92
RML Taylor (SCOT),2013-2016,2013,2016,3,9,6,3,85,41*,41,1,28.33,58,146.55,0,0,0,6,4, 9.44 ,0.00,0.00,75.62
N Khosla (MALTA),2019-2019,2019,2019,0,4,4,0,84,27,27,0,21,95,88.42,0,0,0,3,2, 21.00 ,0.00,0.00,47.97
IO Okpe (NGA),2019-2019,2019,2019,0,8,8,0,84,19,19,0,10.5,109,77.06,0,0,0,2,2, 10.50 ,0.00,0.00,37.12
Afif Hossain (BDESH),2018-2019,2018,2019,1,8,7,0,83,52,52,0,11.85,63,131.74,0,1,2,10,1, 10.38 ,0.00,12.50,59.81
JH Davey (SCOT),2012-2019,2012,2019,7,21,10,5,83,24,24,0,16.6,63,131.74,0,0,0,5,3, 3.95 ,0.00,0.00,62.66
PF Gallagher (Fin),2019-2019,2019,2019,0,3,3,0,83,36,36,0,27.66,68,122.05,0,0,0,4,5, 27.67 ,0.00,0.00,65.42
JK Kamande (KENYA),2007-2010,2007,2010,3,12,9,0,83,42,42,0,9.22,92,90.21,0,0,2,5,3, 6.92 ,0.00,0.00,41.62
Manpreet Singh (ITA),2019-2019,2019,2019,0,8,6,0,83,36,36,0,13.83,98,84.69,0,0,0,10,1, 10.38 ,0.00,0.00,42.17
AC Agar (AUS),2016-2019,2016,2019,3,21,7,1,82,29,29,0,13.66,79,103.79,0,0,0,6,3, 3.90 ,0.00,0.00,49.71
FA Cossa (Moz),2019-2019,2019,2019,0,6,6,2,82,19*,19,1,20.5,90,91.11,0,0,0,6,4, 13.67 ,0.00,0.00,48.74
AS Hansra (CAN),2012-2013,2012,2013,1,8,8,2,82,30,30,0,13.66,85,96.47,0,0,0,4,3, 10.25 ,0.00,0.00,46.78
AK Mohan (Fin),2019-2019,2019,2019,0,5,5,0,82,41,41,0,16.4,72,113.88,0,0,1,9,1, 16.40 ,0.00,0.00,55.39
Muhammad Awais (),2019-2019,2019,2019,0,3,3,2,82,42*,42,1,82,59,138.98,0,0,0,12,1, 27.33 ,0.00,0.00,104.79
TD Paine (AUS/World),2009-2017,2009,2017,8,12,9,1,82,25,25,0,10.25,77,106.49,0,0,2,7,3, 6.83 ,0.00,0.00,48.75
Shaikh Ashraf (Peru),2019-2019,2019,2019,0,4,4,0,82,38,38,0,20.5,67,122.38,0,0,0,8,3, 20.50 ,0.00,0.00,61.25
