Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
L Siaka (PNG),2015-2019,2015,2019,4,26,22,2,296,39,39,0,14.8,271,109.22,0,0,4,26,7, 11.38 ,0.00,0.00,52.57
Kamran Khan (QAT),2019-2019,2019,2019,0,14,14,1,295,52,52,0,22.69,220,134.09,0,2,0,26,17, 21.07 ,0.00,14.29,67.25
R Mutumbami (ZIM),2015-2019,2015,2019,4,22,19,4,294,54,54,0,19.6,251,117.13,0,1,1,19,15, 13.36 ,0.00,4.55,58.61
B Bhandari (NEPAL),2014-2019,2014,2019,5,27,23,6,292,58*,58,1,17.17,262,111.45,0,2,1,23,12, 10.81 ,0.00,7.41,54.88
CA Lynn (AUS),2014-2018,2014,2018,4,18,16,1,291,44,44,0,19.4,221,131.67,0,0,1,28,14, 16.17 ,0.00,0.00,64.31
HDRL Thirimanne (SL),2012-2016,2012,2016,4,26,20,2,291,44,44,0,16.16,267,108.98,0,0,1,27,5, 11.19 ,0.00,0.00,53.29
AN Kervezee (NL),2009-2012,2009,2012,3,10,10,1,289,58*,58,1,32.11,262,110.3,0,2,0,19,6, 28.90 ,0.00,20.00,63.39
DS Airee (NEPAL),2018-2019,2018,2019,1,18,16,2,287,47*,47,1,20.5,260,110.38,0,0,0,22,6, 15.94 ,0.00,0.00,56.45
IA Karim (KENYA),2013-2019,2013,2019,6,16,16,3,286,71*,71,1,22,299,95.65,0,2,2,30,2, 17.88 ,0.00,12.50,51.46
A Bagai (CAN),2008-2013,2008,2013,5,9,9,2,284,67*,67,1,40.57,249,114.05,0,2,0,27,0, 31.56 ,0.00,22.22,69.96
Mohammad Shahzad (UAE),2015-2017,2015,2017,2,20,20,2,281,52,52,0,15.61,239,117.57,0,1,2,25,11, 14.05 ,0.00,5.00,56.39
TC Bruce (NZ),2017-2019,2017,2019,2,15,15,2,279,59*,59,1,21.46,222,125.67,0,2,0,24,7, 18.60 ,0.00,13.33,63.14
SO Hetmyer (WI),2018-2019,2018,2019,1,20,18,1,279,56,56,0,16.41,223,125.11,0,1,2,19,17, 13.95 ,0.00,5.00,59.89
TAM Siriwardana (SL),2015-2017,2015,2017,2,22,19,3,275,42,42,0,17.18,208,132.21,0,0,4,16,12, 12.50 ,0.00,0.00,63.19
